feature,group,basiskele_positive_count,basiskele_negative_count,basiskele_effect,global_effect,smoothed_effect,abs_effect,direction,reliability_level
near_hospital,nearby,1072,,-0.004945781878950228,-0.004945781878950228,-0.004945781878950228,0.004945781878950228,discount,county
transport_tem,transport,109,,-0.004215499077000473,-0.004215499077000473,-0.004215499077000473,0.004215499077000473,discount,county
near_mall,nearby,767,,0.003726602808447055,0.003726602808447055,0.003726602808447055,0.003726602808447055,premium,county
in_pvc,inside,595,,0.0033554272162286125,0.0033554272162286125,0.0033554272162286125,0.0033554272162286125,premium,county
in_laminate_floor,inside,805,,0.0032450231919263217,0.0032450231919263217,0.0032450231919263217,0.0032450231919263217,premium,county
near_market,nearby,1173,,-0.0031463073276416513,-0.003146307327641651,-0.0031463073276416513,0.0031463073276416513,discount,county
out_sound_insulation,outside,722,,-0.0030304747431770807,-0.0030304747431770807,-0.0030304747431770807,0.0030304747431770807,discount,county
near_pharmacy,nearby,1022,,-0.002441734217200064,-0.0024417342172000644,-0.002441734217200064,0.002441734217200064,discount,county
in_smart_home,inside,57,,-0.0014881957794905532,-0.0014881957794905532,-0.0014881957794905532,0.0014881957794905532,discount,county
front_score,front,1226,,-0.000269548069521619,-0.000269548069521619,-0.000269548069521619,0.000269548069521619,discount,county
out_heat_insulation,outside,914,,-0.000269548069521619,-0.000269548069521619,-0.000269548069521619,0.000269548069521619,discount,county
view_score,view,1188,,-0.000269548069521619,-0.000269548069521619,-0.000269548069521619,0.000269548069521619,discount,county
