m2_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
200+,100,0.14444564447714917,0.11143399806568341,5243.407819400596,4095.6307207491664,36296.8652,36179.55583318877
0-75,47,0.12397010304754422,0.11774553209419569,6506.987297484339,5788.335423392084,51021.8114893617,48470.192735485
151-200,439,0.11027721576569191,0.09312739530900671,4011.885407861746,3201.681734347483,36219.63845102506,35748.38496557119
126-150,490,0.09983030597902244,0.07658804706181441,3805.7796396273293,2892.543155821557,37986.10510204082,37823.16500742865
101-125,385,0.09857724227623005,0.07745811374024163,3892.786780375726,2763.822884224661,39320.6125974026,39110.069647562144
76-100,292,0.09125351058326156,0.07113790504150885,4037.0941797500373,3063.7846955433633,43393.219109589045,42744.40261479218
