county,group,feature,non_null_count,positive_count,positive_rate,missing_rate,reliability_status
Başiskele,front,front_east,1753,805,0.4592127780946948,0.0,ok
Başiskele,front,front_north,1753,543,0.3097547062179121,0.0,ok
Başiskele,front,front_south,1753,846,0.48260125499144324,0.0,ok
Başiskele,front,front_west,1753,766,0.4369652025099829,0.0,ok
Başiskele,inside,in_air_conditioner,1753,64,0.03650884198516828,0.0,ok
Başiskele,inside,in_builtin_kitchen,1753,324,0.18482601254991443,0.0,ok
Başiskele,inside,in_dressing_room,1753,111,0.06332002281802625,0.0,ok
Başiskele,inside,in_fiber,1753,536,0.3057615516257844,0.0,ok
Başiskele,inside,in_glass_balcony,1753,95,0.05419281232173417,0.0,ok
Başiskele,inside,in_heat_glass,1753,762,0.43468339988590987,0.0,ok
Başiskele,inside,in_intercom,1753,622,0.35482030804335424,0.0,ok
Başiskele,inside,in_laminate_floor,1753,805,0.4592127780946948,0.0,ok
Başiskele,inside,in_pantry,1753,134,0.0764403879064461,0.0,ok
Başiskele,inside,in_parent_bathroom,1753,410,0.2338847689674843,0.0,ok
Başiskele,inside,in_pvc,1753,595,0.3394181403308614,0.0,ok
Başiskele,inside,in_smart_home,1753,57,0.032515687393040504,0.0,ok
Başiskele,inside,in_steel_door,1753,1011,0.5767256132344553,0.0,ok
Başiskele,inside,in_terrace,1753,334,0.19053051911009697,0.0,ok
Başiskele,nearby,near_city_center,1753,781,0.4455219623502567,0.0,ok
Başiskele,nearby,near_hospital,1753,1072,0.6115231032515688,0.0,ok
Başiskele,nearby,near_lake_zero,1753,21,0.011979463776383342,0.0,ok
Başiskele,nearby,near_mall,1753,767,0.4375356531660011,0.0,ok
Başiskele,nearby,near_market,1753,1173,0.6691386195094124,0.0,ok
Başiskele,nearby,near_mosque,1753,1116,0.6366229321163719,0.0,ok
Başiskele,nearby,near_park,1753,1027,0.5858528237307473,0.0,ok
Başiskele,nearby,near_pharmacy,1753,1022,0.583000570450656,0.0,ok
Başiskele,nearby,near_school,1753,1147,0.6543069024529378,0.0,ok
Başiskele,nearby,near_sea_zero,1753,44,0.025099828864803195,0.0,ok
Başiskele,nearby,near_university,1753,595,0.3394181403308614,0.0,ok
Başiskele,outside,out_camera,1753,469,0.2675413576725613,0.0,ok
Başiskele,outside,out_children_playground,1753,412,0.23502567027952082,0.0,ok
Başiskele,outside,out_closed_pool,1753,66,0.037649743297204795,0.0,ok
Başiskele,outside,out_generator,1753,44,0.025099828864803195,0.0,ok
Başiskele,outside,out_heat_insulation,1753,914,0.5213918996006845,0.0,ok
Başiskele,outside,out_hydrofor,1753,58,0.03308613804905876,0.0,ok
Başiskele,outside,out_open_pool,1753,292,0.16657159155733028,0.0,ok
Başiskele,outside,out_pool,1753,306,0.17455790074158586,0.0,ok
Başiskele,outside,out_sauna_hamam,1753,108,0.06160867084997148,0.0,ok
Başiskele,outside,out_security,1753,345,0.19680547632629777,0.0,ok
Başiskele,outside,out_sound_insulation,1753,722,0.41186537364517967,0.0,ok
Başiskele,outside,out_sports_area,1753,255,0.14546491728465488,0.0,ok
Başiskele,subtype,subtype_duplex,1753,721,0.4112949229891614,0.0,unmapped_extra
Başiskele,subtype,subtype_garden_duplex,1753,212,0.12093553907586994,0.0,unmapped_extra
Başiskele,subtype,subtype_middle_floor,1753,462,0.26354820308043353,0.0,unmapped_extra
Başiskele,subtype,subtype_reverse_duplex,1753,45,0.02567027952082145,0.0,unmapped_extra
Başiskele,subtype,subtype_roof_duplex,1753,412,0.23502567027952082,0.0,unmapped_extra
Başiskele,subtype,subtype_top_floor,1753,122,0.06959498003422704,0.0,unmapped_extra
Başiskele,subtype,subtype_triplex,1753,6,0.0034227039361095267,0.0,unmapped_extra+unreliable
Başiskele,transport,transport_airport,1753,42,0.023958927552766685,0.0,ok
Başiskele,transport,transport_bus_stop,1753,1052,0.6001140901312036,0.0,ok
Başiskele,transport,transport_e5,1753,441,0.2515687393040502,0.0,ok
Başiskele,transport,transport_main_road,1753,934,0.5328009127210497,0.0,ok
Başiskele,transport,transport_metro,1753,57,0.032515687393040504,0.0,ok
Başiskele,transport,transport_minibus,1753,899,0.5128351397604107,0.0,ok
Başiskele,transport,transport_tem,1753,109,0.06217912150598973,0.0,ok
Başiskele,transport,transport_train,1753,42,0.023958927552766685,0.0,ok
Başiskele,transport,transport_tram,1753,42,0.023958927552766685,0.0,ok
Başiskele,view,view_bosphorus,1753,12,0.0068454078722190535,0.0,ok
Başiskele,view,view_city,1753,742,0.4232743867655448,0.0,ok
Başiskele,view,view_lake,1753,9,0.00513405590416429,0.0,unreliable
Başiskele,view,view_nature,1753,794,0.452937820878494,0.0,ok
Başiskele,view,view_park_green,1753,839,0.47860810039931545,0.0,ok
Başiskele,view,view_pool,1753,78,0.04449515116942385,0.0,ok
Başiskele,view,view_river,1753,7,0.003993154592127781,0.0,unreliable
Başiskele,view,view_sea,1753,345,0.19680547632629777,0.0,ok
