district,n,mape,mae
Dereköy Mh.,12,0.24659931565597612,6879.008734614556
Yalakdere Mh.,1,0.22184986888988806,12403.42428625295
Tepeköy Mh.,5,0.19592836245723788,7818.730970578191
Avcıköy Mh.,1,0.1725798129459877,8820.745803261801
Kayacık Mh.,113,0.1596823356908585,7008.895823586636
4 Temmuz Mah.,166,0.15865874401758293,5530.334232504067
Ereğli Mh.,30,0.11916345711333966,5706.003473124311
