heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.22221440072561754,0.21226510805284357,9508.593326012124,5585.924007845941,36936.85,32030.834860648076
Yok,26,0.20859395948081116,0.17333692674432327,6810.471304679361,5436.001242702732,34610.45115384615,33644.73357921751
Doğalgaz Sobası,45,0.1813659682655672,0.1613770024744951,5529.19505925729,4253.47318816806,29016.16688888889,27887.09926275922
Kombi (Elektrik),12,0.1492890833139259,0.1362253823284057,6590.952780366492,5007.585168289501,39483.42083333334,38511.77941290325
Klima,7,0.13599689094322415,0.09148148341273181,4564.509099957517,3500.239229823739,32086.58714285714,31467.569162465727
Kombi (Doğalgaz),3871,0.13079188536840286,0.1039373530623236,4648.183956433591,3565.477704398407,36411.337104107464,36247.648864608636
,18,0.12768553061063195,0.12456394534000809,5452.53687167006,5009.479056242151,42992.14388888889,41447.92971238396
Kat Kaloriferi,26,0.12400219523728918,0.09937911835160518,4322.96619613023,4039.565383355377,35067.71076923077,35093.11119444601
Merkezi,209,0.12129982648690825,0.09264226153228883,4418.750109709969,3661.854704127756,37981.59133971292,37102.650374719764
Merkezi (Pay Ölçer),331,0.11041788179644023,0.08036581234166591,5141.789212146204,3203.5193187609984,45494.26628398792,44601.51963961562
Yerden Isıtma,2115,0.09742349394003941,0.0768214112440095,4042.9297430699653,2976.8501746510374,40547.94645390071,39908.53139337515
VRV,2,0.09340854121192965,0.09340854121192965,7509.853299293627,7509.853299293627,71051.59,64085.39595995441
