building_age_group,n,mape,mae
21-25 arası,14,0.22088860921248646,8007.811383325958
16-20 arası,14,0.2194124702451176,7776.319352955188
4,5,0.2148317840167675,7425.9693816148765
3,3,0.19888346409581473,11792.259471321404
31 ve üzeri,73,0.19163272249875987,5561.973397359142
6-10 arası,47,0.1743699828749735,7048.5585948838025
2,3,0.16802526997477263,10412.048824008087
26-30 arası,37,0.16040672360986757,5730.910434604517
5,5,0.15749700455146762,8703.892822002053
11-15 arası,49,0.14452491829017455,5843.613453681145
1,9,0.12792684258018394,6763.207867252756
0 (Oturuma Hazır),52,0.10184582996633634,5473.820473721875
0 (Yapım Aşamasında),17,0.08908027818425426,4391.299157891409
