county,rows,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2
Kartepe,1007,0.5324830269846705,0.5502690529306371,0.10335910220798687,0.08252879195362604,4075.7997278652333,3144.1695905414817
Başiskele,1753,0.5023943451615305,0.5083433224778542,0.10400439526958317,0.0820361932211326,4058.637348046113,3129.0749819046323
Gölcük,1182,0.6635865298866002,0.676837181892427,0.11892232963407814,0.09164663694214559,3842.726339711081,2915.908511351292
İzmit,2397,0.663608633458139,0.6739467604675017,0.132722806895623,0.1043547396319566,5087.230336058209,3902.6212194011314
Karamürsel,328,0.5790827502359911,0.6170959125963515,0.15941958059566994,0.12123356403997418,6170.996172599008,4824.732875956226
