m2_group,n,mape,mae
200+,23,0.23161652244560935,8604.903524269192
126-150,65,0.17424743940772344,5891.521104933097
101-125,89,0.15073370821436274,5501.072419653946
151-200,45,0.1491604079267898,6724.439495915415
76-100,83,0.14743560450319934,5765.990487427647
0-75,23,0.1422471867860578,7497.941678771405
