decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32992.69766714071,5205.5384581011685
1,174,31543.124942528735,34735.22424139612,3192.0992988673825
2,176,33617.061534090906,36126.04719059472,2508.985656503814
3,174,35227.52902298851,36635.3123708519,1407.7833478633909
4,176,36766.70914772727,37571.47968106917,804.7705333418995
5,175,38721.52542857143,38613.68132399687,-107.84410457456518
6,175,41049.114285714284,39826.624297233895,-1222.4899884803958
7,175,43378.922857142854,41202.80622938524,-2176.116627757619
8,175,46825.67697142858,43383.28794083684,-3442.389030591734
9,176,55005.39056818183,45558.34502679433,-9447.04554138748
