county,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Gölcük,521,2.595009596928983,0.0,0,0,0.9958923940164023,34869.483838771586
Kartepe,631,2.2852614896988905,0.0,0,0,0.9812953049602992,38515.482773375596
