detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,2+1 Ara kat ( FIRSAT DİARE ) TAKASA AÇIKTIR,none,0,0,0,0,0,none,0,,1316243015
Dubleks|Çatı Dubleksi,KARTEPE ATAEVLERDE ÇOK UYGUN 2+1 A.MUTFAK SATILIK,roof,1,1,0,0,0,detail,0,,1312619829
,FSM'DE CADDE ÜZERİNDE SATILIK LÜX 3+1 ÇATI DUBLEKS EĞİMSİZ DAİRE,roof,1,1,0,0,0,title,0,,1324417527
Ara Kat,KARTEPE ATAEVLERDE SATILIK ARA KAT SIFIR DAİRE.,none,0,0,0,0,0,none,0,,1330291545
Ara Kat,ARAS'tan SAPANCA YOLUNA 1 dk MESAFEDE 3+1 ARAKAT,none,0,0,0,0,0,none,0,,1330250807
Çatı Dubleksi,KOCAELI KARTEPE (KARTEPE KONAKLARI 2 ) 2+1 ÇATI DEBLEKS SATILIK,roof,1,1,0,0,0,detail,0,,1330292026
,DEALLİFE'DAN ATAEVLERDE ARAKAT 3+1 DAİRE,none,0,0,0,0,0,none,0,,1322378152
En Üst Kat,REMAX DREAM KARTEPE KALICI KONUTLARINDA 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1324296433
Ara Kat,"Kartepe İbrikdere'de Sıfır 2+1 Daire - 90m² Net, Krediye Uygun",none,0,0,0,0,0,none,0,,1330286751
En Üst Kat|Ara Kat,KARTEPE KENT MEYDANI EMPİRE HOUSE SİTESİ HAVUZLU BOŞ 3+1 DAİRE,none,0,0,0,0,0,none,0,,1313206486
Ara Kat,SATILIK BUTİK SİTE İÇERİSİNDE 2+1 FULL EŞYALI DAİRE,none,0,0,0,0,0,none,0,,1330261322
Çatı Dubleksi,SY GAYRİMENKULDAN ZERAY ESİLDE SATILIK TERASLI 3 + 1 DAİRE,roof,1,1,0,0,0,detail,0,,1330258925
Çatı Dubleksi,BAHÇE KULLANIM ALANLI EBEVEYN BANYOLU 2+1 DUBLEKS SATILIK DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1330255744
,REAL GAYRİMENKUL KARTEPE TUANA EVLERİ 2+1 GİRİŞ KAT,none,0,0,0,0,0,none,0,,1330256471
Çatı Dubleksi,KARTEPE ATAEVLER MAH.SATILIK 4+1 ÇATI DUBLEKS!,roof,1,1,0,0,0,detail_and_title,0,,1330246623
Dubleks,ST GAYRİMENKULDEN KÖSEKÖY MAH'de 2+1 DUBLEKS DAİRE,standard,1,0,0,0,1,detail_and_title,0,,1327326617
,KARTEPE FSM MAH SATILIK 2+1 ZEMİN KAT DAİRE,none,0,0,0,0,0,none,0,,1330239726
,YAĞMUR DAN SATILIK SİTE İÇİNDE 3+1 DUBLEKS DAİRE,standard,1,0,0,0,1,title,0,,1330244608
,"DEALLİFE'DEN,İSTASYON MAH'DE2+1 85 m2 ARA KAT DAİRE",none,0,0,0,0,0,none,0,,1330236396
Dubleks|Çatı Dubleksi,"Kartepe Ataevler'de İskanlı, Krediye Uygun Lüks 4+1 Çatı Dubleks",roof,1,1,0,0,0,detail_and_title,0,,1327305687
Ara Kat,"EXPERT'SDEN KARTEPE, ÇEPNİ CAD.'DE,SATILIK 2+1 ARAKAT LÜKS DAİRE",none,0,0,0,0,0,none,0,,1330200871
Ara Kat,ENA GAYRİMENKULDEN KARTEPE Ş.ROYAL2 SİT.ARAKAT HAVUZLU YAPILI3+1,none,0,0,0,0,0,none,0,,1324330487
,DEALLİFEDAN DUMLUPINARDA OTOPARK ASANSÖRLÜ 2+1 DUBLEX,standard,1,0,0,0,1,title,0,,1330197553
Dubleks|En Üst Kat|Çatı Dubleksi,KARTEPE ATAEVLER MAHALLESİNDE LÜKS 3+1 TERASLI DAİRE!,roof,1,1,0,0,0,detail,0,,1323628456
Ara Kat,"ATAEVLER MAH,DE EN MERKEZÎ KONUMUNDA GENİŞ VE FERAH 3+1 DAİRE",none,0,0,0,0,0,none,0,,1318083533
Çatı Dubleksi,DUMLUPINAR MAHALLESİ MERİDYEN ELİT SİTESİNDE 3+1 DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1330150545
,BAHÇELİEVLER MAHDE SATILIK 2+1 LÜX ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1330118346
,KARTEPE ERTUĞRUL GAZİ SATILIK 3+1 DAİRE EMİN EVİME YÜKSEK KREDİ,none,0,0,0,0,0,none,0,,1330143574
,SAHİBİNDEN 3+1 DAIRE,none,0,0,0,0,0,none,0,,1330127103
,Kocaeli Kartepe Ertugrul Gazi 3+1 Kapalı Mutfak Fırsat Daire,none,0,0,0,0,0,none,0,,1330130516
Çatı Dubleksi,"ATAEVLER'DE EBEVEYN BANYOLU, EĞİMSİZ ÇATI DUBLEKS SATILIK DAİRE",roof,1,1,0,0,0,detail_and_title,0,,1320779222
Dubleks,FSM de YÜKSEK KREDİLİ PAZARA YÜRÜME MESAFESİ 2+1 DUBLEX,standard,1,0,0,0,1,detail_and_title,0,,1318691807
,KARTEPE DUMLUPINAR MAH 1+1 YATIRIMLIK SATILIK DAİRE,none,0,0,0,0,0,none,0,,1330126634
Dubleks|En Üst Kat|Çatı Dubleksi,KARTEPE ERTUĞRUL GAZİ'de 3+1 ÇATI DUBLEKS SATILIK DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1327201363
,KARTEPE DUMLUPINAR RITIM NAZ RESIDENCE 1+1 FULL EŞYALI SATILIK,none,0,0,0,0,0,none,0,,1330119240
,END GAYRİMENKUL DEN KARTEPE CARPEDİEM SİTESİNDE 2+1 DAİRE,none,0,0,0,0,0,none,0,,1294934018
,KARTEPE KÖSEKÖY MAH.EĞİMSİZ BETON ÇATI 2+1 SATILIK DUBLEKS DAİRE,standard,1,0,0,0,1,title,0,,1324117058
Ara Kat,Kartepe Karcity Evleri Havuzlu Site 2+1 Ara Kat Satılık Daire,none,0,0,0,0,0,none,0,,1324171132
,SAHİBİNDEN 3+1 Giriş Kat,none,0,0,0,0,0,none,0,,1329945211
Çatı Dubleksi,KOCAELİ KARTEPE İBRİKDERE MAH. 3+1 130M² LÜKS ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,detail_and_title,0,,1330051804
Çatı Dubleksi,VEFAKENT NARLIBAHÇE SİTESİ SATILIK 4+1 DUBLEX FIRSAT DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1273256310
,Kocaeli kartepe istasyon 2 + 1 satılık dubleks sıfır,standard,1,0,0,0,1,title,0,,1327151421
Çatı Dubleksi,ZERAY ESİL KARTEPE HAVUZ MANZARALI SATILIK ÇATI DUBLEKS 2+1,roof,1,1,0,0,0,detail_and_title,0,,1319939334
Ara Kat,ZERAY MAHAL KARTEPE KELEPİR FIRSAT DAİRE TERASLI 2+1,none,0,0,0,0,0,none,0,,1320792371
,Doğa kentte ara kat,none,0,0,0,0,0,none,0,,1283961999
