district,n,mape,mae
Dereköy Mh.,4,0.45759672293443565,11298.068055739372
Tepeköy Mh.,3,0.2519409497136424,12844.18065235108
Kayacık Mh.,43,0.17654004518476124,8077.266216400414
4 Temmuz Mah.,62,0.15668263179956796,6182.769830341287
Ereğli Mh.,10,0.11432852453856934,5380.711688257924
