district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Şevkatiye Mh.,1,23.0,23.0,0,0,0.5517950188731191,26406.25
Acısu Mh.,1,17.0,17.0,0,0,1.3821610934509334,61235.96
Kavaklı Mh.,11,7.636363636363637,5.0,0,0,0.935358898453213,26926.33818181818
Değirmendere Yalı Mh.,8,6.0,5.0,0,0,1.1952467790199597,36639.31875
Körfez Mh.,3,5.666666666666667,5.0,0,0,1.0057322086750335,30992.483333333334
Halıdere Yeni Mh.,2,5.0,5.0,0,0,0.8860581463875373,29000.0
İhsaniye Merkez Mh.,22,4.090909090909091,5.0,0,0,0.9856119897138758,38236.81363636364
Merkez Mah.,12,3.75,2.5,0,0,1.0303206124834894,28011.3125
Yunus Emre Mah.,4,3.75,5.0,0,0,0.9376662855075182,32459.09
Yüzbaşılar Mh.,6,3.5,2.5,0,0,1.1830627956964164,40903.628333333334
Ulaşlı Yavuz Sultan Selim Mh.,3,3.3333333333333335,5.0,0,0,1.0625638795075023,36914.53
Emekevler Mh.,46,3.3043478260869565,5.0,0,0,0.9808361788520263,34653.287391304344
Donanma Mah.,22,3.227272727272727,0.0,0,0,1.0313907668734605,34339.26454545455
Arslanbey Mh.,9,3.2222222222222223,0.0,0,0,0.7586094533003441,26994.89222222222
Cumhuriyet Mah.,17,3.0588235294117645,5.0,0,0,1.0040180696415892,36263.940588235295
Yeni Mah.,25,2.96,0.0,0,0,1.0014939432383962,32503.3368
Maşukiye Mh.,9,2.888888888888889,0.0,0,0,1.095423708130333,45168.14333333333
Örcün Mh.,7,2.857142857142857,5.0,0,0,0.9483454177776578,33765.99428571428
Yazlık Yeni Mh.,28,2.8214285714285716,0.0,0,0,0.9792202119813503,33788.99357142857
İstasyon Mh.,29,2.7586206896551726,5.0,0,0,0.9982598919787182,38189.55310344828
Karaköprü Mh.,32,2.75,0.0,0,0,0.9663006160768466,34728.2484375
İbrikdere Mh.,11,2.727272727272727,5.0,0,0,0.9834873005539911,35502.145454545454
Yazlık Merkez Mh.,32,2.65625,5.0,0,0,0.9932098924784829,34365.523125
Köseköy Mh.,22,2.5454545454545454,0.0,0,0,0.977987234367202,36203.88409090909
Yukarı Mh.,15,2.533333333333333,0.0,0,0,0.9647222570593379,41197.202000000005
Topçular Mh.,62,2.5,0.0,0,0,0.9671782164002194,38929.664516129036
Ataşehir Mh.,4,2.5,2.5,0,0,0.9458369791294562,35909.72
Ataevler Mh.,113,2.3716814159292037,0.0,0,0,0.9901715997101338,35811.85973451327
Değirmendere Merkez Mh.,10,2.3,0.0,0,0,0.7846297183395488,31981.852000000003
Ertuğrul Gazi Mh.,63,2.2857142857142856,0.0,0,0,0.9986695935417326,38331.984761904765
Çiftlik Mh.,39,2.230769230769231,0.0,0,0,0.9637253913945326,34829.98487179487
Fatih Sultan Mehmet Mh.,190,2.0210526315789474,0.0,0,0,0.9807012564509023,40673.96747368421
Uzunçiftlik Mh.,25,2.0,0.0,0,0,0.9986284446553529,36894.132000000005
Hisareyn Merkez Mah.,31,1.935483870967742,0.0,0,0,1.006744686460009,32700.55129032258
Dumlupınar Mh.,61,1.8852459016393444,0.0,0,0,1.0080753317782885,39282.900327868854
Şehitler Mh.,42,1.6666666666666667,0.0,0,0,1.02139232257035,32171.266666666666
Şirinköy Mh.,12,1.6666666666666667,0.0,0,0,0.9677420655423579,33962.050833333335
Rahmiye Mah.,3,1.6666666666666667,0.0,0,0,0.9053555099422848,37997.53666666667
Sarımeşe Mh.,28,1.5357142857142858,0.0,0,0,0.9573284385118035,48013.6
Piyalepaşa Mh.,35,1.4285714285714286,0.0,0,0,0.9928057633861153,30274.410000000003
Çepni Mh.,8,1.25,0.0,0,0,0.8165008877810125,33860.31625
Halıdere Yalı Mh.,4,1.25,0.0,0,0,1.1227043858207464,36369.1175
Atatürk Mh.,23,1.0869565217391304,0.0,0,0,1.0070146904230604,44579.779565217395
Derbent Mh.,11,0.9090909090909091,0.0,0,0,0.9919800796408685,35782.222727272725
İpek Yolu Mh.,5,0.0,0.0,0,0,0.9630969086879037,32762.546000000002
Uzuntarla Mh.,3,0.0,0.0,0,0,0.799450431459234,31160.516666666666
Düzağaç Mh.,2,0.0,0.0,0,0,1.1014275189237956,38591.505000000005
Saraylı Mh.,1,0.0,0.0,0,0,1.1731460272720375,41034.48
