county,site_project_id,n_listings,known_premium
Kartepe,missing,440,0
Gölcük,missing,425,0
Kartepe,kartepe::other,194,0
Gölcük,golcuk::other,105,0
Gölcük,golcuk::yakamoz_konutlari,1,0
