building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,28,7.428571428571429,5.0,0,0,0.816179689038814,28397.99821428571
26-30 arası,21,3.761904761904762,0.0,0,0,0.8204258666488295,26953.737142857142
16-20 arası,24,3.5,5.0,0,0,0.9730648903333567,34936.39125
11-15 arası,85,2.8,0.0,0,0,0.925876200163756,35454.780352941176
4,33,2.606060606060606,0.0,0,0,1.0783452965707176,40066.93575757575
6-10 arası,199,2.5979899497487438,0.0,0,0,0.9639155628614612,34791.4667839196
missing,3,2.3333333333333335,0.0,0,0,1.095423708130333,40103.89666666667
1,67,2.2238805970149254,0.0,0,0,1.0324714580875907,39943.76
3,51,2.196078431372549,0.0,0,0,0.9789660550391496,37252.55431372549
5,51,2.1372549019607843,0.0,0,0,0.9986695935417326,37825.75725490196
0 (Oturuma Hazır),521,2.0998080614203456,0.0,0,0,1.0021961144899532,37737.18378119002
2,53,1.6603773584905661,0.0,0,0,0.9845599228718004,41471.65622641509
21-25 arası,16,1.4375,0.0,0,0,0.9258018569482953,32915.61
