building_age_group,n,mape,mae
16-20 arası,7,0.2821222486758744,8543.544436026441
2,3,0.27095629084403444,16738.777527758353
21-25 arası,3,0.2608200493762469,8933.562229948833
26-30 arası,6,0.23564436452653129,9481.861442043755
31 ve üzeri,8,0.21194274234910468,6112.285744506582
6-10 arası,31,0.19700822792318712,7680.85952421855
4,3,0.15987497992311553,5630.482788176712
11-15 arası,21,0.14349220513432548,5417.866090043206
5,3,0.1354845798272292,6987.153834669351
0 (Oturuma Hazır),36,0.1203013489285004,6523.913962230733
1,1,0.017928599321634275,979.177264818798
