m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
0-75,37,5.216216216216216,5.0,0,0,1.2161958466847926,49110.29864864865
200+,49,5.122448979591836,5.0,0,0,0.9571730205876046,37722.92102040816
76-100,152,2.486842105263158,0.0,0,0,1.0404271149930087,39589.34335526316
126-150,371,2.266846361185984,0.0,0,0,0.9769864068991493,35838.79649595687
101-125,247,2.11336032388664,0.0,0,0,0.985646602813231,36965.17392712551
151-200,296,2.0574324324324325,0.0,0,0,0.9695013628684197,35002.00972972973
