duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,111,33333.33,35219.626396396394,26964.29,46052.63
garden,1,17,31578.95,32051.69,23004.824,40188.334
middle_floor,0,5,38144.33,38919.342000000004,33047.62,45199.998
middle_floor,1,1,35222.22,35222.22,35222.22,35222.22
none,0,343,38000.0,38503.054635568515,25925.93,49864.85600000001
none,1,12,48333.335,44475.513333333336,28179.233000000004,60652.904
roof,0,349,34516.13,35810.391318051574,28484.85,44295.507999999994
roof,1,80,33180.555,33814.35725,23771.222,43915.054000000004
standard,0,217,35937.5,36885.15714285714,29490.912,45105.264
standard,1,30,32361.11,36916.21833333334,27257.674000000003,51100.528
