floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Bodrum,1,0.6162385157733186,0.6162385157733186,16272.548307139194,16272.548307139194,26406.25,42678.798307139194
Ara Kat,364,0.11864366672852691,0.0865929494149871,4433.784443719656,3261.6890637543365,38166.362774725276,37839.81105087162
Çatı,100,0.11560380113531254,0.0848926556432057,4376.214850447938,3036.5282849783,36207.566699999996,35279.626622815034
Bahçe,79,0.11557530312090933,0.09997442280770966,4093.7441629680497,3511.7089650069174,36577.39341772152,36507.963642637325
En Üst Kat,499,0.10871225085660267,0.08411746555596733,4036.415885910142,2860.4847525807636,36050.96971943888,35603.13638343456
Zemin/Giriş,109,0.10645726821915501,0.08163148878765036,4047.634333701629,2907.4263811837227,37169.75935779817,37086.657351808484
