room_count,n,mape,mae
4.5+1,1,1.0778067665502615,20273.027931562476
6+2,1,0.39010234813249606,13503.54101949864
4.5+2,1,0.32015369529246607,20009.60595577913
4+2,6,0.2325161657710563,8545.805736947119
5+2,1,0.2307198041536499,6984.682147857271
5+1,7,0.21388430361255456,7742.516769474713
4+1,23,0.17696921527690662,8341.495528702599
3+1,43,0.1572585653730447,6850.6073341604615
2+1,27,0.15665908313698151,6250.365770411685
2+2,1,0.1117061245810669,4864.621878644888
1+1,5,0.09962524794803014,5002.66723877429
3+2,2,0.09324573951690762,3894.543847508987
2.5+1,1,0.08113989153175977,2903.9537137791704
6+1,3,0.06143370824804897,2060.470391591925
