canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning
100_yil_bariser,100. yil bariser sitesi,1,2,"{""100. yil bariser sitesi"": 46964.285}",0.0,
toksoylu,toksoylu sitesi,1,1,"{""toksoylu sitesi"": 26315.79}",0.0,
versay_yamacevler,versay yamacevler,1,1,"{""versay yamacevler"": 28947.37}",0.0,
degirmendere_modern,degirmendere modern evleri,1,2,"{""degirmendere modern evleri"": 47241.375}",0.0,
rakicioglu_sitesi_2,rakicioglu sitesi 2,1,1,"{""rakicioglu sitesi 2"": 41500.0}",0.0,
altinsehir,altinsehir sitesi,1,3,"{""altinsehir sitesi"": 38095.24}",0.0,
sirinkent_kalici_konutlari_15_ada,sirinkent kalici konutlari 15. ada,1,1,"{""sirinkent kalici konutlari 15. ada"": 27900.0}",0.0,
versay_lilyum_park,versay lilyum park sitesi,1,1,"{""versay lilyum park sitesi"": 49999.99}",0.0,
vadi_degirmendere,vadi degirmendere,1,4,"{""vadi degirmendere"": 44078.945}",0.0,
piyalepasa_da,piyalepasa da site,1,1,"{""piyalepasa da site"": 29032.26}",0.0,
manzara,manzara evleri,1,1,"{""manzara evleri"": 32692.31}",0.0,
melisa,melisa sitesi,1,1,"{""melisa sitesi"": 42857.14}",0.0,
deniz_yildizi,deniz yildizi evleri,1,2,"{""deniz yildizi evleri"": 28828.125}",0.0,
azra_6,azra 6 sitesi,1,1,"{""azra 6 sitesi"": 34946.24}",0.0,
golcuk_degirmendere_metropolitangreyeffect,golcuk degirmendere metropolitangreyeffect sit,1,1,"{""golcuk degirmendere metropolitangreyeffect sit"": 39052.63}",0.0,
golcuk_mah_faralya,golcuk yeni mah. faralya sitesi,1,1,"{""golcuk yeni mah. faralya sitesi"": 41176.47}",0.0,
sirinkent_kalici_konutlari_19_ada,sirinkent kalici konutlari 19. ada,1,1,"{""sirinkent kalici konutlari 19. ada"": 38333.33}",0.0,
dogan,dogan evleri,1,1,"{""dogan evleri"": 24107.14}",0.0,
asena,asena sitesi,1,1,"{""asena sitesi"": 45769.23}",0.0,
yakamos,yakamos sitesi,1,1,"{""yakamos sitesi"": 36190.48}",0.0,
topcular_da,topcular'da site,1,1,"{""topcular'da site"": 37226.28}",0.0,
hasdayi,hasdayi sitesi,1,1,"{""hasdayi sitesi"": 24958.33}",0.0,
olkar_safir,olkar safir,1,1,"{""olkar safir"": 38176.47}",0.0,
sarayli_kalici_konutlari_181_ada,sarayli kalici konutlari 181. ada,1,1,"{""sarayli kalici konutlari 181. ada"": 29200.0}",0.0,
sakli_vadi,sakli vadi evleri,1,1,"{""sakli vadi evleri"": 38690.48}",0.0,
armada,armada sitesi,1,1,"{""armada sitesi"": 35789.47}",0.0,
goztepe,goztepe evleri,1,1,"{""goztepe evleri"": 33071.43}",0.0,
tanyildizdan_golcuk_elit_park,tanyildizdan golcuk elit park,1,1,"{""tanyildizdan golcuk elit park"": 44800.0}",0.0,
ovunc,ovunc sitesi,1,1,"{""ovunc sitesi"": 33178.57}",0.0,
bahce_dubleks,bahce dubleks site,1,1,"{""bahce dubleks site"": 30740.74}",0.0,
olkar_atasehir,olkar atasehir,1,2,"{""olkar atasehir"": 45792.5}",0.0,
cb_envoy_golcuk_mh_faralya,cb envoy golcuk yeni mh. faralya sitesi,1,1,"{""cb envoy golcuk yeni mh. faralya sitesi"": 33544.3}",0.0,
palmiye,palmiye sitesi,1,1,"{""palmiye sitesi"": 40357.14}",0.0,
golcuk_balaban_mimoza_kent,golcuk balaban mimoza kent,1,1,"{""golcuk balaban mimoza kent"": 29375.0}",0.0,
sarayli_kalici_konutlari_182_ada,sarayli kalici konutlari 182. ada,1,1,"{""sarayli kalici konutlari 182. ada"": 33636.36}",0.0,
metropolitan_grey_effect,metropolitan grey effect,1,2,"{""metropolitan grey effect"": 42926.94}",0.0,
true_life,true life,1,2,"{""true life"": 29063.725}",0.0,
civan_park,civan park evleri,1,1,"{""civan park evleri"": 36944.44}",0.0,
azat_park,azat park evleri,1,1,"{""azat park evleri"": 40000.0}",0.0,
beyaz_vadi,beyaz vadi,1,1,"{""beyaz vadi"": 35227.27}",0.0,
mahallede,yeni mahallede site,1,1,"{""yeni mahallede site"": 34538.46}",0.0,
doga,doga sitesi,1,1,"{""doga sitesi"": 28249.1}",0.0,
topcular_mh_ronesans,topcular mh. ronesans sitesi,1,1,"{""topcular mh. ronesans sitesi"": 48076.92}",0.0,
donanma_olkar_vadi,donanma olkar vadi,1,1,"{""donanma olkar vadi"": 32727.27}",0.0,
versay_yamac_evler,versay yamac evler sitesi,1,1,"{""versay yamac evler sitesi"": 28657.41}",0.0,
baris_park_evleri_1,baris park evleri 1,1,1,"{""baris park evleri 1"": 42424.24}",0.0,
tasdan_premium_city,tasdan premium city,1,2,"{""tasdan premium city"": 50333.335}",0.0,
topcularda_havuzlu,topcularda havuzlu site,1,1,"{""topcularda havuzlu site"": 39531.25}",0.0,
sehitler_mah_vgm,sehitler mah.vgm sit,1,1,"{""sehitler mah.vgm sit"": 26250.0}",0.0,
yasam,yasam evleri,1,1,"{""yasam evleri"": 25000.0}",0.0,
ata_1,ata-1 sitesi,1,2,"{""ata-1 sitesi"": 36969.604999999996}",0.0,
firtina,firtina sitesi,1,1,"{""firtina sitesi"": 25000.0}",0.0,
mimoza,mimoza evleri,1,1,"{""mimoza evleri"": 32500.0}",0.0,
torunogullari_ormania,torunogullari ormania sitesi,1,1,"{""torunogullari ormania sitesi"": 28092.7}",0.0,
sahan_torunogullari,sahan torunogullari sitesi,1,1,"{""sahan torunogullari sitesi"": 41949.15}",0.0,
kavanium,kavanium,1,4,"{""kavanium"": 45541.665}",0.0,
cb_envoy_ihsaniye_de,cb envoy ihsaniye'de site,1,1,"{""cb envoy ihsaniye'de site"": 28888.89}",0.0,
ayse_torunogullari,ayse torunogullari sitesi,1,1,"{""ayse torunogullari sitesi"": 39285.71}",0.0,
seval,seval sitesi,1,1,"{""seval sitesi"": 30588.24}",0.0,
balaban_city,balaban city sitesi,1,2,"{""balaban city sitesi"": 43620.130000000005}",0.0,
golcuk_hisareyn_de,golcuk hisareyn de site,1,1,"{""golcuk hisareyn de site"": 31666.67}",0.0,
menekse_park,menekse park evleri,1,1,"{""menekse park evleri"": 30937.5}",0.0,
ema_emlak_karakopru_vip,ema emlak karakopru mah vip sit,1,1,"{""ema emlak karakopru mah vip sit"": 34000.0}",0.0,
mavi_sehir,mavi sehir,1,9,"{""mavi sehir"": 33519.55}",0.0,
torunogullari,torunogullari sitesi,1,1,"{""torunogullari sitesi"": 29591.84}",0.0,
1sifir,1sifir site,1,1,"{""1sifir site"": 35185.19}",0.0,
golcuk_kavanium_2,golcuk kavanium 2 etap,1,1,"{""golcuk kavanium 2 etap"": 60833.33}",0.0,
hisareynde,hisareynde site,1,1,"{""hisareynde site"": 36551.72}",0.0,
yakamoz_konutlari,yakamoz sitesi,1,1,"{""yakamoz sitesi"": 30800.0}",0.0,
orcun_manzara,orcun manzara evleri,1,1,"{""orcun manzara evleri"": 39666.67}",0.0,
baris_vizyon_deluxe_3,baris vizyon deluxe 3,1,1,"{""baris vizyon deluxe 3"": 47222.22}",0.0,
nida_torunogullari,nida torunogullari sitesi,1,1,"{""nida torunogullari sitesi"": 30270.27}",0.0,
sokkk_fiyat_ihsaniye_merkez_de,sokkk fiyat ihsaniye merkez'de site,1,1,"{""sokkk fiyat ihsaniye merkez'de site"": 33333.33}",0.0,
golcuk_degirmendere_orcun,golcuk degirmendere-orcun site,1,1,"{""golcuk degirmendere-orcun site"": 27631.58}",0.0,
kw_arven_den_hisareyn_de_havuzlu,kw arven'den hisareyn'de havuzlu site,1,1,"{""kw arven'den hisareyn'de havuzlu site"": 33125.0}",0.0,
ilica_evleri_3,ilica evleri 3,1,1,"{""ilica evleri 3"": 30882.35}",0.0,
cati_dubleks_havuzlu,cati dubleks 210m2 havuzlu site,1,1,"{""cati dubleks 210m2 havuzlu site"": 43809.52}",0.0,
