raw_folded,canonical_id
1.69 kredi icon residence,1_69_kredi_icon
100. yil bariser sitesi,100_yil_bariser
1sifir site,1sifir
480 residence sitesi,480
a plus residence,a_plus
acill deallife'dan ataevlerde site,acill_deallife_dan_ataevlerde
adesa sitesi,adesa
agkoc evleri 2,agkoc_evleri_2
altinsehir sitesi,altinsehir
aras gayrimenkulden fsm'de site,aras_gayrimenkulden_fsm_de
armada sitesi,armada
asena sitesi,asena
ata-1 sitesi,ata_1
atakent evleri 131. ada,atakent_evleri_131_ada
atakent evleri 142. ada,atakent_evleri_142_ada
atakoy sitesi,atakoy
ayse torunogullari sitesi,ayse_torunogullari
azat park evleri,azat_park
azra 6 sitesi,azra_6
bahce dubleks site,bahce_dubleks
balaban city sitesi,balaban_city
baris park evleri 1,baris_park_evleri_1
baris vizyon deluxe 3,baris_vizyon_deluxe_3
beyaz vadi,beyaz_vadi
beykent konaklari sitesi,beykent_konaklari
beykoz evleri 1,beykoz_evleri_1
bizim konaklar sitesi,bizim_konaklar
boutique kartepe,boutique_kartepe
butik site,butik
capediem kartepe evleri,capediem_kartepe
casaba residence,casaba
cati dubleks 210m2 havuzlu site,cati_dubleks_havuzlu
cb envoy golcuk yeni mh. faralya sitesi,cb_envoy_golcuk_mh_faralya
cb envoy ihsaniye'de site,cb_envoy_ihsaniye_de
cinar sitesi,cinar
civan park evleri,civan_park
degirmendere modern evleri,degirmendere_modern
deniz yildizi evleri,deniz_yildizi
derbent mh site,derbent_mh
doga kent sitesi,doga_kent
doga sitesi,doga
dogan evleri,dogan
donanma olkar vadi,donanma_olkar_vadi
dorukpark evleri,dorukpark
dubleks kent,dubleks_kent
effect kartepe,effect_kartepe
ekomax'dan e.gazi asansrlu havzlu site,ekomax_dan_e_gazi_asansrlu_havzlu
ekomax'dan kartpe fsm. mah. havzlu asanslu site,ekomax_dan_kartpe_fsm_mah_havzlu_asanslu
ekomaxdan sinirsiz kredi asansoru site,ekomaxdan_sinirsiz_kredi_asansoru
eksioglu izmit kardelen evleri,eksioglu_kardelen
elit park sitesi,elit_park
ema emlak karakopru mah vip sit,ema_emlak_karakopru_vip
emar delux sitesi,emar_delux
emlakcim41 kent,emlakcim41_kent
empire house sitesi,empire_house
ena gayrimenkulden kartepe s.royal2 sit,ena_gayrimenkulden_kartepe_s_royal2
ertugrul gazi mh satilik site,ertugrul_gazi_mh
ertugrul gazi'de site,ertugrul_gazi_de
firtina sitesi,firtina
forum anatolia,forum_anatolia
fsm mahallesi'nde luks site,fsm_mahallesi_nde
garden kartepe 2 sitesi,garden_kartepe_2
gate 41 masukiye,gate_41_masukiye
gate 41 sitesi,gate_41
gate41 masukiye projesi,gate41_masukiye
golcuk balaban mimoza kent,golcuk_balaban_mimoza_kent
golcuk degirmendere metropolitangreyeffect sit,golcuk_degirmendere_metropolitangreyeffect
golcuk degirmendere-orcun site,golcuk_degirmendere_orcun
golcuk hisareyn de site,golcuk_hisareyn_de
golcuk kavanium 2 etap,golcuk_kavanium_2
golcuk yeni mah. faralya sitesi,golcuk_mah_faralya
goztepe evleri,goztepe
guckat life sitesi,guckat_life
gulas sitesi,gulas
hasanpasa butik site,hasanpasa_butik
hasanpasa mahallesinde butik site,hasanpasa_mahallesinde_butik
hasdayi sitesi,hasdayi
hisareynde site,hisareynde
hursoy behcelievler sitesi,hursoy_behcelievler
hursoy nefes kartepe sitesi,hursoy_nefes_kartepe
hursoy sapphire,hursoy_sapphire
hursoy sitesi atakent 1,hursoy_sitesi_atakent_1
ilica evleri 3,ilica_evleri_3
k. h. eksioglu insaat limited sirketi,k_h_eksioglu_insaat_limited_sirketi
kafkas dostluk konutlari,kafkas_dostluk
kamelya sitesi,kamelya
karcity,karcity
kartepe atakent konutlari,kartepe_atakent
kartepe cadde life sitesi,kartepe_cadde_life
kartepe dumlupinar ritim naz residence,kartepe_dumlupinar_ritim_naz
kartepe fsm'de site,kartepe_fsm_de
kartepe kent,kartepe_kent
kartepe kent merkezinde site,kartepe_kent_merkezinde
kartepe kent meydaninda site,kartepe_kent_meydaninda
kartepe konaklari,kartepe_konaklari
kartepe konutlari 2. etap,kartepe_konutlari_2
kartepe meridyen,kartepe_meridyen
kartepe serender park,kartepe_serender_park
kartepe site,kartepe
kartepe stone suite,kartepe_stone_suite
kartepe'de havuzlu site,kartepe_de_havuzlu
kartepe'de manzarali site,kartepe_de_manzarali
kavanium,kavanium
kent meydaninda 1.99 krediyle site,kent_meydaninda_1_99_krediyle
kocaeli kartepe kosekoy site,kartepe_kosekoy
konak evleri,konak
korhandan kent,korhandan_kent
kw arven'den hisareyn'de havuzlu site,kw_arven_den_hisareyn_de_havuzlu
mahal kartepe,mahal_kartepe
manzara evleri,manzara
marmara 34 sitesi,marmara_34
mavi sehir,mavi_sehir
melisa sitesi,melisa
menekse park evleri,menekse_park
meridyen elite sitesi,meridyen_elite
metropolitan grey effect,metropolitan_grey_effect
mimoza evleri,mimoza
missing,missing
mk elegance sitesi,mk_elegance
modern 2 sitesi,modern_2
mrs konaklari,mrs_konaklari
