segment,rows,r2,mape
duplex,803,0.41334676665597925,0.10908597813179531
non_duplex,349,0.5029651017769075,0.12248875999582003
roof,423,0.38100539809942424,0.10862719158476948
garden,127,0.5646263107011773,0.10988102724119558
middle_floor,6,-0.13590151347231716,0.10196533319740042
standard,247,0.37380493383054914,0.10963585401076079
