decile,n,mean_actual,mean_pred,mean_bias
0,41,27174.49024390244,32555.180800372094,5380.690556469654
1,41,30673.928780487808,33918.657093084636,3244.7283125968347
2,38,32431.5102631579,34849.835511397534,2418.3252482396333
3,41,33904.7168292683,35325.4747530327,1420.7579237643997
4,42,34999.10785714285,36144.4783935482,1145.370536405339
5,37,36072.75216216217,35192.00695698998,-880.7452051721873
6,39,37526.76025641026,37263.2539182324,-263.50633817785433
7,40,40241.54225,37118.03844208138,-3123.5038079186183
8,40,43176.03125,39145.035312058295,-4030.995937941708
9,40,49885.950749999996,40008.067007198035,-9877.883742801969
