decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33979.277409216345,4989.258387477216
1,94,32779.16914893617,36575.203472786125,3796.034323849948
2,90,35039.15233333334,37318.38478366627,2279.2324503329446
3,92,36802.27858695651,39071.49343789267,2269.2148509361514
4,93,38664.66096774193,39467.13656818442,802.4756004424759
5,90,40912.58688888889,40521.67106271466,-390.91582617423194
6,92,43037.149456521736,41916.89781973872,-1120.2516367830256
7,92,45705.152934782614,43359.23231277802,-2345.920622004593
8,92,49382.030000000006,45255.86024590919,-4126.169754090801
9,92,57958.77086956522,47757.03697317874,-10201.733896386471
