building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.21047830477730334,0.17454457366771955,5351.790956614148,4738.895617652715,28095.89875,33395.38723880889
16-20 arası,11,0.13062555701412235,0.059633590366177734,5277.5044075061915,2136.8701226760677,36433.91818181818,35480.31843872825
5,43,0.12353122392410838,0.095898366990128,5426.834356575808,3707.2172781949484,43811.04720930233,42666.96883063101
26-30 arası,16,0.11788749227475155,0.09944077841490792,3541.027536695924,3124.2965144560476,32057.213125000002,33166.434568494005
2,30,0.11702957532672352,0.0763943472711448,4961.3036506884655,3199.5862305124538,41055.965,40322.51354371048
6-10 arası,158,0.11542487016963456,0.09692917001102581,4667.384486346802,3995.708179146066,40460.17386075949,40290.281179881764
0 (Yapım Aşamasında),78,0.11135365841643921,0.09366958582956719,4656.695199957684,3767.3492136744535,41159.575769230774,40786.9641476347
4,17,0.11130372605973632,0.09276304593169098,4684.933440926435,3590.996675034483,40888.98941176471,40518.647196691985
3,26,0.10176873384427315,0.10266405656959718,4463.160235079965,4505.683397568922,43607.786538461536,42244.4379262919
0 (Oturuma Hazır),388,0.10049694962829321,0.08073827608804493,4310.359245082821,3228.6922851624186,42164.376211340204,41577.61612281373
1,47,0.09452837094854531,0.07391588752249757,3953.575421086983,3177.7750885149944,42601.52404255319,41886.73618322996
11-15 arası,78,0.09231894824757192,0.08476123430242688,3431.494973629733,3203.182672416402,37469.194871794876,37497.26773258313
missing,3,0.08057586989337744,0.08324210208775519,3429.694479701679,4162.10510438776,44908.426666666666,41535.40446824089
21-25 arası,16,0.0722497964661019,0.06608044187852732,2241.2165641401543,2217.869607101822,31237.335625,32519.368544014767
