site_project_id,n,mean_actual,mean_pred,mean_residual
natura_life_yuvacik,1,63186.81,41250.6954283036,-21936.114571696395
temizel_tepe_loft,1,52777.78,33184.380705353324,-19593.399294646675
yuvacik_pasadagi_mh,1,57241.38,38834.452610534434,-18406.927389465563
ustgrup_lifeside,1,64685.31,46767.26314058291,-17918.04685941709
merkezde_essiz_bir,1,56666.67,38883.377764699624,-17783.292235300374
yuvacikta,1,57500.0,42896.20988402019,-14603.790115979813
ara,1,55312.5,40982.5965890638,-14329.903410936196
erenoglu_gm_den,1,60185.19,47422.431738604464,-12762.758261395538
bulvar,2,51688.655,39609.605298035094,-12079.049701964908
kolayli,1,50000.0,37998.16012673516,-12001.839873264842
panoramakent_3,2,58273.81,48022.790259933594,-10251.019740066404
panoramakent_2,2,57160.0,47360.17780347929,-9799.822196520712
orka_life,3,56599.920000000006,47335.77043119496,-9264.149568805036
yuvacik_eksioglu_metsan,1,54597.7,45342.85273693049,-9254.84726306951
anatolia,1,45112.78,36253.68799334084,-8859.092006659157
kolayli_karsiyaka,1,42424.24,33676.51228073933,-8747.72771926067
yagmurkent,1,57692.31,49021.72335095943,-8670.586649040568
royal_life,2,54451.415,46137.67881526179,-8313.736184738213
zeray_korupark,5,53095.166000000005,45868.62742111095,-7226.5385788890535
pasadag_mh_de_konsept_talha_park,1,41807.91,34893.014210321766,-6914.895789678238
yesilyurt_mah_durupark,1,48058.25,41383.647659498325,-6674.602340501675
kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,38174.88321420932,-6110.826785790676
asrin,1,37666.67,31573.741223093013,-6092.928776906985
parla_100_yil,3,49074.073333333334,43002.41677633371,-6071.656556999624
vadi,1,41842.11,35867.71148048311,-5974.398519516893
oluklu_life,2,38349.36,32671.810209984404,-5677.549790015597
zeray_perla,8,55492.5925,49907.36200539839,-5585.230494601609
ust_park_yuvacik,1,36750.0,31343.46065741219,-5406.53934258781
basiskele_de_asev_muhit,1,53333.33,48074.40496898454,-5258.92503101546
oksijen_konaklari,1,41818.18,36582.456469339064,-5235.723530660936
altinkent_kalici_konutlari_7_ada,1,34782.61,29583.762031520615,-5198.847968479386
