m2_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
200+,43,0.16221903830049245,0.15197683142275029,6413.803916689621,5173.099394052551,38271.07372093023,37993.01355307127
0-75,35,0.11856174594581231,0.11675594183987216,6496.850376849974,5298.924053144699,53130.34457142857,50077.00809842102
126-150,218,0.1175916023729822,0.09718932529145205,4657.1112376037845,3796.069162341282,39176.51027522936,38883.206048614826
151-200,167,0.11630867655323468,0.09162133540282777,4384.215749620106,3247.4026887605432,37635.07526946108,37274.19912683456
101-125,249,0.10069412881750656,0.0791328777581166,3974.8991603701356,3056.82699064225,39753.45345381526,39559.78776642752
76-100,232,0.09152400418492827,0.07407329825405022,4074.458866525386,3152.066150794486,43785.19741379311,42963.57551836943
