decile,n,mean_actual,mean_pred,mean_bias
0,96,28835.90302083333,33861.23970890308,5025.336688069748
1,93,32529.09139784946,36355.329374839595,3826.237976990134
2,95,34792.97578947368,36893.23581348483,2100.2600240111465
3,94,36624.17212765957,38918.40955413791,2294.237426478335
4,95,38451.393052631574,39325.53935341077,874.1463007791957
5,93,40679.691720430106,40358.57811673741,-321.11360369269534
6,95,42821.69,41409.17756464934,-1412.5124353506578
7,94,45472.750744680845,42888.24773305266,-2584.503011628201
8,94,49160.314680851065,44581.382565750995,-4578.932115100063
9,95,57330.64536842106,47004.821564881364,-10325.823803539704
