feature,importance_mean,n_models
sat_ndwi_mean_100m,0.01000418355231175,2
sat_ndbi_mean_250m,0.0037512479427730004,2
sat_ndvi_mean_250m,0.0035214740011017,2
sat_ndvi_mean_100m,0.00347406600276755,2
sat_ndwi_mean_250m,0.0028725679944506,2
sat_ndbi_mean_100m,0.00276085298589635,2
sat_ndwi_mean_500m,0.002186924968829,2
sat_ndvi_mean_500m,0.0019804142024585,2
sat_ndbi_mean_500m,0.001687964595261,2
sat_has_features,6.751876839665e-05,2
