county,n_tests,mean_abs_diff_tl_m2,mean_abs_diff_pct,pass_rate
Başiskele,8,3411.924680379644,0.10660781946995895,1.0
Gölcük,8,1709.32146588057,0.019913725127309455,0.75
Karamürsel,8,1709.32146588057,0.019913725127309455,0.75
İzmit,8,1709.32146588057,0.019913725127309455,0.75
