experiment,expensive_decile_bias,r2,mape,large_home_r2,selected
control_v21_on_new_data,-9676.026685355373,0.4833413112579207,0.10480543341622237,0.34694109425922925,False
duplex_flags_only,-9510.815872736235,0.4905058238761666,0.10397667876115901,0.35235148144451445,False
largehome_refresh_only,-9676.248029732542,0.482349193048466,0.1049987364782789,0.3456871586996493,False
duplex_interactions,-9416.720059122918,0.49181579342533,0.10393495168766125,0.354198287731171,True
full_v23,-9446.27665455268,0.4910144703080256,0.10378276412519295,0.353632349973527,False
