detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,BAŞİSKELE BARBAROS MAHALLESİNDE 2+1 ARA KAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1319682112
Ara Kat,BAŞİSKELE MERKEZ Barbaros DA 3+1 SİTE İÇİ SATILIK ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1317049933
Ara Kat,AtticHouse'tan Satılık OTURUMA HAZIR MASRAFSIZ 2+1 daire,none,0,0,0,0,0,none,0,,1314568430
,Tarcanlar'dan Başiskele Karşıyaka'da Ferah 3+1 Satılık Daire,none,0,0,0,0,0,none,0,,1279892191
Ara Kat,CEPHESİ AÇIK DENİZ MANZARALI İSKANLI SATILIK 3+1 ARAKAT,none,0,0,0,0,0,none,0,,1318583778
,BAŞİSKELE YAYLACIK MAH. 2+1 ARAKAT DAiRE AMERİKAN MUTFAKLI,none,0,0,0,0,0,none,0,,1319471572
Ara Kat,AKBULUT EMLAKTAN | PEKDEMİR evlerinde | BAŞİSKELE | 3+1,none,0,0,0,0,0,none,0,,1314142380
Bahçe Dubleksi,HAVUZLU SİTENİN EN GÜZEL DAİRESİ HER ŞEY DAHİL FİYAT,garden,1,0,1,0,0,detail,0,,1300451534
Ara Kat,DERİN'DEN BAŞİSKELE DE SİTE İÇİ 3+1 ARAKAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1296134611
En Üst Kat,BAŞİSKELEDE KAÇIRILMAYACAK DENİZ MANZARALI 1+1 SIFIR DAİRE,none,0,0,0,0,0,none,0,,1273141467
,ŞENSEL EMLAKTAN SATILIK BAŞİSKELE BARBAROS MAH 3+1 LÜX DAİRE,none,0,0,0,0,0,none,0,,1262840721
,BAŞİSKELE BARBAROS MAHALLESİNDE 2+1 FERAH KALİTELİ SATILIK DAİRE,none,0,0,0,0,0,none,0,,1322697259
Ara Kat,YAPI EMLAK GAYRİMENKULDEN SATILIK ARAKAT GENİŞ 2+1 DAİRE,none,0,0,0,0,0,none,0,,1317368051
,Fırsat Daire! Başiskele Barbaros 1+1 78m² Temelden Satılık,none,0,0,0,0,0,none,0,,1314470506
,BU CADDE AVM'YE KOMŞU BAHÇE KULLANIMLI 2+1 YÜKSEK GİRİŞ,none,0,0,0,0,0,none,0,,1300245673
Ara Kat,Başiskele Kullar'da satılık sıfır daire,none,0,0,0,0,0,none,0,,1325610776
Ara Kat,BAŞİSKELE BARBAROS MAHALLESİNDE SATILIK 2+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1314570866
,ListingPortal satilik.Kullar Kapalı pazar yakininda.,none,0,0,0,0,0,none,0,,1325565176
Ara Kat,Başiskele Barbaros'ta Sıfır 3+1 Daire | 115m² | İskanlı,none,0,0,0,0,0,none,0,,1322572865
,BAŞİSKELE KULLAR YAYLACIK MAHALLESİ 2+1 SİTE İÇİ SIFIR DAİRE,none,0,0,0,0,0,none,0,,1322553716
,BAŞİSKELE BARBAROS'DA ELİTİUM TRİO SİTESİNDE 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1314365578
Çatı Dubleksi,SAHİBİNDEN SATILIK للبيع من المالك مباشرة.,roof,1,1,0,0,0,detail,0,,1291146932
,KOCAELİ BAŞİSKELE SEYRİ VADİ SİTESİ SATILIK 3+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1298548815
Ara Kat,BAŞİSKELE BARBAROS 2+1 CADDE ÜZERİ DAİRE,none,0,0,0,0,0,none,0,,1270680867
,Merkezi konum,none,0,0,0,0,0,none,0,,1316519235
Ara Kat,CB MAHALL'DEN KULLAR'DA SATILIK 3+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1314237879
Ara Kat,"BAŞİSKELE'NİN MERKEZİNDE 2+1, 100 M2 SIFIR DAİRE/OFİS",none,0,0,0,0,0,none,0,,1325444340
,Ful Manzaralı Önü Kapanmaz,none,0,0,0,0,0,none,0,,1318050826
,ASİES GLOBAL'DEN FIRSAT 1.KALİTE EBEVEYN BANYO 3+1 YÜKSEK GİRİŞ.,none,0,0,0,0,0,none,0,,1311543382
Ara Kat,ROSE GARDEN SİTESİNDE SATILIK 2+1 EŞYALI ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1260291665
Ara Kat,ÜST GRUP'TAN MEZİRE BAHÇECİK DENİZ MANZARALI 3+1 DAİRE,none,0,0,0,0,0,none,0,,1312433168
,BARBAROS MAHALLESİNDE KUPON DAİRE,none,0,0,0,0,0,none,0,,1325525624
,BARBAROS MAHALLESİ SATILIK YÜKSEK GİRİŞ KAT DAİRE,none,0,0,0,0,0,none,0,,1290874633
Ara Kat,ListingPortal moda pazarı karşısı geniş 2+1 arakat daire,none,0,0,0,0,0,none,0,,1314066473
Ara Kat,BAŞİSKELE ALTINKENT DÖNGEL MEVKİ'İNDE 3+1 SATILIK ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1314073415
Dubleks|En Üst Kat|Ara Kat|Çatı Dubleksi,END'DEN BAŞİSKELE ALTINKENT MAH.SATILIK MANZARALI 3+1 DAİRE,roof,1,1,0,0,0,detail,0,,1249325376
Ara Kat,Başiskele Mezire Bahçecik 2+1 Ara Kat Satılık Daire,none,0,0,0,0,0,none,0,,1308397408
,Süper 4+1 Arayanlara...,none,0,0,0,0,0,none,0,,1325478345
Ara Kat,Tarcanlardan Başiskele Mahmutpaşa Mah.Satılık Arakat 3+1 Daire,none,0,0,0,0,0,none,0,,1312915485
Ara Kat,Acil Satılık!! Sıfır Ayarında 2+1 Daire | Barbaros Mah.,none,0,0,0,0,0,none,0,,1079246104
Ara Kat,REMAX'DAN SULTAN OKULLARINA KOMŞU 2+1 ARA KAT KÖŞE DAİRE,none,0,0,0,0,0,none,0,,1325149227
Ara Kat,MERKEZİ KONUM CADDE ÜSTÜ GENİŞ 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1311460942
,"MERKEZİ KONUMDA, MODERN MİMARİLİ 2+1 ARA KAT DAİRE!",none,0,0,0,0,0,none,0,,1319582613
,Cb Mahall'den Başiskele Sahilde Satılık Lüks 1+1,none,0,0,0,0,0,none,0,,1285308427
,REMAX MYRADAN SATILIK LÜX GENİŞ VE KULLANIŞLI 4+1 DAİRE,none,0,0,0,0,0,none,0,,1322280566
Ara Kat|Bahçe Dubleksi|Çatı Dubleksi,BAŞİSKELE YUVACIK DÖNGEL ALTINKENT MH3+1 134 M2 SATILIK DAİRELER,roof,1,1,0,0,0,detail,0,,1295080552
Ara Kat,BAŞİSKELE BARBAROS MAHALLESİNDE GENİŞ VE FERAH 3+1,none,0,0,0,0,0,none,0,,1321979067
Ara Kat,BAŞİSKELE YAYLACIK MAHALLESİ 2+1 LÜKS ARAKAT,none,0,0,0,0,0,none,0,,1316510739
Ara Kat,Başiskele Sahil'de Eşsiz Lokasyonda Satılık 2+1 Yüksek Giriş,none,0,0,0,0,0,none,0,,1299531863
Bahçe Dubleksi,ÇAKIR GAYRİMENKUL DEN 3+1 SATILIK DAİRE,garden,1,0,1,0,0,detail,0,,1313509387
Ara Kat,İMZA GM'DEN SINIRSIZ KREDİLİ BARBAROS MAH. GENİŞ 3+1 ARA KAT,none,0,0,0,0,0,none,0,,1301828064
Ara Kat,Başiskele körfez mah. denize 2 dk satılık daire,none,0,0,0,0,0,none,0,,1289657331
,Mezire bahçecik sitesinde satılık 2+1 arakat daire,none,0,0,0,0,0,none,0,,1324840036
Ara Kat,BAŞİSKELE MERKEZ DE 3+1 ARAKAT ASANSÖRLÜ DAİRE,none,0,0,0,0,0,none,0,,1324980580
Ara Kat,ASİES GLOBAL FIRSAT 1.KALİTE EBEVEYN BANYO 3+1 ARAKAT PANORAMİK!,none,0,0,0,0,0,none,0,,1311219329
,ŞANLI GAYRİMENKULDEN PEKDEMİR EVİMİZ KOCAELİ 4+1 BAHÇE DAİRE,none,0,0,0,0,0,none,0,,1298652975
,TANTA EMLAK'TAN YEŞİLKENT KALICI KONUTLARINDA SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1321722468
,Sınırsız Kredi İmkanı Geniş Arakat,none,0,0,0,0,0,none,0,,1302216724
,Halk Bankası'ndan Kocaeli Başiskele Satılık Konut,none,0,0,0,0,0,none,0,,1325261633
Ara Kat,Tanta Emlak'tan Barbaros Mah. 3+1 Ara Kat Daire,none,0,0,0,0,0,none,0,,1321832561
Ara Kat,BAŞİSKELE KULLAR YAYLACIK MAHALLESİ SİTE İÇİ SATILIK 2+1 ARAKAT,none,0,0,0,0,0,none,0,,1324834728
,Evimiz Kocaeli Sitesinde Satılık 3+1 Daire!,none,0,0,0,0,0,none,0,,1310435636
Dubleks|Çatı Dubleksi,BAŞISKELE BARBOROS KONUMUYLA DEĞER KATAN ŞIK VE KULLANIŞLI 2+1,roof,1,1,0,0,0,detail,0,,1316089380
,REMAX EFFECT KULLAR YAKACIK MAH. SIFIR SATILIK 2+1 DAİRE,none,0,0,0,0,0,none,0,,1307348644
Ara Kat,Kullar Yakacık Mahallesinde Kaçırılmayacak 2+1 Satılık Ara Kat,none,0,0,0,0,0,none,0,,1321515007
Ara Kat,Kardelen sitesinde arakat 3+1 içi yapılı satılık daire,none,0,0,0,0,0,none,0,,1318942001
,Müstakil Tadında,none,0,0,0,0,0,none,0,,1043298236
,ALTIN EMLAK' tan KULLAR' da 2+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1321505288
,TANTA EMLAK'TAN SATILIK 3+1 BAHÇELİ MÜSTAKİL TADINDA DAİRE,none,0,0,0,0,0,none,0,,1321504227
,YÜKSEK KREDİ İMKANLI 3+1 SIFIR ARA KAT OTURUMA HAZIR GENİŞ TERAS,none,0,0,0,0,0,none,0,,1316111042
,Halk Bankası'ndan Kocaeli Başiskele Satılık Konut,none,0,0,0,0,0,none,0,,1263720103
Dubleks,PAŞADAG MH DE TALHA PARKTA PROJEMİZDEN 2+1 GENİŞ FERAH DAİREMİZ,standard,1,0,0,0,1,detail,0,,1310283177
Çatı Dubleksi,MERKEZİ KONUM GENİŞ TERASLI 3+1 SATILIK DAİRE,roof,1,1,0,0,0,detail,0,,1313644364
Ara Kat,TURYAP'TAN KULLAR TEPECIK 3+1 ARAKAT EBEVEYN BANYOLU,none,0,0,0,0,0,none,0,,1324696628
,TANYILDIZ- BAŞİSKELE - KARŞIYAKA MH. 1+1 DENİZE SIFIR DAİRELER,none,0,0,0,0,0,none,0,,1324469239
Çatı Dubleksi,KAYA İNŞAATTAN SATILIK LÜKS 3+1 ASANSÖRLÜ DAİRE,roof,1,1,0,0,0,detail,0,,1303517927
Bahçe Dubleksi,ÜST GRUP'TAN MEZİRE BAHÇECİK'TE DENİZ MANZARALI 4+1 DAİRE,garden,1,0,1,0,0,detail,0,,1320478194
Ara Kat,PEKİN EMLAK'tan satılık daireler,none,0,0,0,0,0,none,0,,1303623790
,Ziraat Bankası'ndan Altınkent Mahallesi'nde Daire,none,0,0,0,0,0,none,0,,1307495237
Çatı Dubleksi,TURYAP'TAN BAŞİSKELE'DE DENİZ MANZARALI 4+1 FIRSAT,roof,1,1,0,0,0,detail,0,,1313144557
Ara Kat,SATILIK 2+1 DAİRE BAŞİSKELE,none,0,0,0,0,0,none,0,,1296313852
,Başiskele Seymende Doğa ile içiçe bir yaşam,none,0,0,0,0,0,none,0,,1289076697
Ara Kat,Altınkent Kalıcı Konutlarında acil satılık boş ara kat daire,none,0,0,0,0,0,none,0,,1324259267
Ara Kat,3+1 | ARA KAT EBEVEYN BANYOLU YERDEN ISITMALI | DENİZ MANZARALI,none,0,0,0,0,0,none,0,,1302676413
Ara Kat,BARBAROS MH'DE SAHİLE D130'A KOLEJLERE YAKIN KONUMDA ARA KAT 2+1,none,0,0,0,0,0,none,0,,1321123114
Ara Kat,BAŞİSKELE ALTINKENT MERKEZİ KONUMDA 110 M² 3+1 ARAKAT,none,0,0,0,0,0,none,0,,1317802615
Ara Kat,BAŞİSKELE YAYLACIK MAH.YATIRIMLIK ÖN CEPHELİ 2+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1316609473
,Erenoğlu Gayrimenkul'den Barbaros Mahallesinde Fırsat 2+1 Daire,none,0,0,0,0,0,none,0,,1310285846
