heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yok,7,0.178058615778907,0.10116914468803506,6764.818846142878,3673.6013739566915,37454.69142857143,35566.88833567751
Doğalgaz Sobası,4,0.1432751185343405,0.08746226891071598,4062.451155285192,3285.958851230411,33555.9775,34287.323451067874
Kombi (Doğalgaz),737,0.11279907486436613,0.08875363131129785,4302.038128526842,3320.2070160211806,38156.259457259155,37912.757950526946
,7,0.11086864515734378,0.09878587638647778,5105.572116087154,3646.9757847566652,44523.14,41470.51037771678
Kombi (Elektrik),3,0.10893366458979532,0.11636468109043534,3702.994827216273,3773.9893739378676,34297.65333333333,36390.809055360696
Merkezi,2,0.0996760932757157,0.0996760932757157,3512.5917014819497,3512.5917014819497,36354.165,39866.75670148195
Yerden Isıtma,971,0.09696024146417365,0.07260242937882488,3880.332572105355,2867.7372386086645,39621.46486096807,39122.79270707758
Merkezi (Pay Ölçer),14,0.08316689166677692,0.054489547879625164,3956.681133025119,2343.629050405694,41591.92285714286,40736.12865171319
Kat Kaloriferi,8,0.078822088421614,0.056622240949358915,2812.2549974861713,1770.4952089987128,36377.21625,37016.46483018146
