duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,177,35555.56,36044.20248587571,29065.974,43518.794
garden,1,63,34761.9,35649.0646031746,25909.354,45347.824
middle_floor,0,7,36962.96,37815.24285714286,35087.916000000005,41600.0
middle_floor,1,2,31250.0,31250.0,28850.0,33650.0
none,0,834,40909.09,41579.84559952038,31685.9,52218.404
none,1,49,36956.52,38624.187551020404,28279.982,49477.77600000002
roof,0,369,36250.0,37227.39615176152,31195.294,43753.62
roof,1,106,34529.91,34219.19669811321,27361.54,42736.365000000005
standard,0,118,36125.0,37487.0670338983,30343.748,46208.336
standard,1,33,33101.85,35181.27060606061,27795.03,47955.552
