building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,10,9.1,5.0,1,0,0.7461120527150958,27798.147999999997
16-20 arası,17,3.764705882352941,5.0,0,0,0.8751883716174554,35631.04588235294
26-30 arası,19,3.210526315789474,0.0,0,0,0.89001259288151,32685.493684210527
0 (Yapım Aşamasında),77,2.74025974025974,0.0,0,0,1.0365729390519416,40622.71142857143
2,75,2.2933333333333334,0.0,0,0,0.9856151330395492,38866.780133333334
11-15 arası,127,2.1653543307086616,0.0,0,0,0.9435498047846379,36015.66559055118
5,78,1.9871794871794872,0.0,0,0,1.050764592539215,40935.52205128205
3,50,1.8,0.0,0,0,1.033462190805237,39987.1914
4,47,1.6170212765957446,0.0,0,0,0.9798899362082064,38920.92212765958
1,91,1.6043956043956045,0.0,0,0,1.011147630350095,40740.32582417582
0 (Oturuma Hazır),843,1.5765124555160142,0.0,0,0,1.004433351765505,39607.340818505334
6-10 arası,290,1.506896551724138,0.0,0,0,0.9610707153230975,38286.78617241379
21-25 arası,22,1.2727272727272727,0.0,0,0,0.8322642814342462,31640.829545454544
missing,7,0.0,0.0,0,0,1.0964077612397773,44523.14
