segment,rows,r2,mape
duplex,874,0.32599155251555756,0.10480467332121177
non_duplex,879,0.4910118781531363,0.1030701772761446
roof,475,0.3212910744708638,0.09837967263703425
garden,240,0.26839001490897196,0.11865222463565687
middle_floor,9,0.5714464532346768,0.06346016438114738
standard,150,0.40029367407579275,0.10547509725439888
