raw_name,proposed_canonical_id,reason,frequency,mean_residual,needs_manual_review,mean_price,median_price
Pera Park Evleri,pera_park,low_freq_kept_separate_review,1,,True,38518.52,38518.52
basiskele kullar tepecik de site,kullar_tepecik_de,low_freq_kept_separate_review,1,,True,38952.38,38952.38
basiskele barbaros mh site,barbaros_mh,low_freq_kept_separate_review,1,,True,42253.52,42253.52
basiskele barbaros site,barbaros,low_freq_kept_separate_review,1,,True,41588.79,41588.79
ceneviz adalari projesi,ceneviz_adalari,low_freq_kept_separate_review,2,,True,48076.925,48076.925
Kolaylı Kullar Sitesi,kolayli_kullar,low_freq_kept_separate_review,1,,True,48333.33,48333.33
ceneviz adalari projesi,ceneviz_adalari,low_freq_kept_separate_review,2,,True,48076.925,48076.925
Rose Garden Evleri,rose_garden,low_freq_kept_separate_review,2,,True,35959.6,35959.6
basiskele kullar yaylacik mahallesi site,kullar_yaylacik_mahallesi,low_freq_kept_separate_review,1,,True,54780.82,54780.82
Kardelen Sitesi,kardelen,low_freq_kept_separate_review,2,,True,34598.715000000004,34598.715000000004
Bizim Evler Sitesi,bizim_evler,low_freq_kept_separate_review,1,,True,38750.0,38750.0
bahama proje,bahama,low_freq_kept_separate_review,2,,True,40054.945,40054.945
basiskele kullar'da prestijli yasam projesi,kullar_da_prestijli_yasam,low_freq_kept_separate_review,1,,True,29629.63,29629.63
Yağmurkent Sitesi,yagmurkent,low_freq_kept_separate_review,1,,True,57692.31,57692.31
basiskele kullar tepecik mah. site,kullar_tepecik_mah,low_freq_kept_separate_review,2,,True,30937.5,30937.5
Altınkent Kalıcı Konutları 7 Ada,altinkent_kalici_konutlari_7_ada,low_freq_kept_separate_review,1,,True,34782.61,34782.61
Altınkent Kalıcı Konutları 6 Ada Sitesi,altinkent_kalici_konutlari_6_ada,low_freq_kept_separate_review,1,,True,28695.65,28695.65
basiskele kullar'da ultra luks ebeveyn banyolu site,kullar_da_ultra_ebeveyn_banyolu,low_freq_kept_separate_review,1,,True,35555.56,35555.56
Mehmet Akif Ersoy Sitesi,mehmet_akif_ersoy,low_freq_kept_separate_review,1,,True,22500.0,22500.0
basiskele altinkent site,altinkent,low_freq_kept_separate_review,1,,True,36153.85,36153.85
Altınkent Kalıcı Konutları 5 Ada,altinkent_kalici_konutlari_5_ada,low_freq_kept_separate_review,1,,True,30833.33,30833.33
Ertürk Sitesi,erturk,low_freq_kept_separate_review,1,,True,42400.0,42400.0
Marmara Elit Yapı Kooperatifi,marmara_elit_yapi_kooperatifi,low_freq_kept_separate_review,1,,True,40347.83,40347.83
Altınkent Kalıcı Konutları 3 Ada,altinkent_kalici_konutlari_3_ada,low_freq_kept_separate_review,1,,True,32083.33,32083.33
Casaba Suite Sitesi,casaba_suite,low_freq_kept_separate_review,1,,True,39610.39,39610.39
Dream Gardens Sitesi,dream_gardens,low_freq_kept_separate_review,2,,True,30719.21,30719.21
tanta emlak'tan site,tanta_emlak_tan,low_freq_kept_separate_review,2,,True,40000.0,40000.0
ara kat daire site,ara,low_freq_kept_separate_review,1,,True,55312.5,55312.5
Naturapark Evleri,naturapark,low_freq_kept_separate_review,1,,True,25294.12,25294.12
Kolaylı Sitesi,kolayli,low_freq_kept_separate_review,1,,True,50000.0,50000.0
Kolaylı Karşıyaka Sitesi,kolayli_karsiyaka,low_freq_kept_separate_review,1,,True,42424.24,42424.24
ust kat deniz manzarali asansorlu site,ust_deniz_manzarali_asansorlu,low_freq_kept_separate_review,1,,True,32379.31,32379.31
Yakut Konakları Sitesi,yakut_konaklari,low_freq_kept_separate_review,2,,True,35731.979999999996,35731.979999999996
Üst Park Atakent,ust_park_atakent,low_freq_kept_separate_review,2,,True,37931.035,37931.035
basiskele fatih mahallesinde site,fatih_mahallesinde,low_freq_kept_separate_review,2,,True,44005.715,44005.715
May Kent 2 Sitesi,may_kent_2,low_freq_kept_separate_review,2,,True,29105.605,29105.605
Armoni 2 Evleri,armoni_2,low_freq_kept_separate_review,1,,True,49583.33,49583.33
Üstpark Yuvacık Sitesi,ustpark_yuvacik,low_freq_kept_separate_review,2,,True,42667.46,42667.46
Manar Yuvacık 3,manar_yuvacik_3,low_freq_kept_separate_review,2,,True,40111.365000000005,40111.365000000005
basiskele fatih mah. site,fatih_mah,low_freq_kept_separate_review,1,,True,28275.86,28275.86
Çağlayan Modern Yuvacık,caglayan_modern_yuvacik,low_freq_kept_separate_review,1,,True,41900.0,41900.0
vadi yuvacik sitesi,vadi_yuvacik,low_freq_kept_separate_review,1,,True,37142.86,37142.86
Aydınkent Kalıcı Konutları 20 Ada,aydinkent_kalici_konutlari_20_ada,low_freq_kept_separate_review,1,,True,34000.0,34000.0
Manar Terrace,manar_terrace,low_freq_kept_separate_review,2,,True,40307.92,40307.92
yuvacik pasadagi mh. site,yuvacik_pasadagi_mh,low_freq_kept_separate_review,1,,True,57241.38,57241.38
Panoramakent 4,panoramakent,near_dict_not_merged_conservative,3,,True,,
Paşadağı Evleri,pasadagi,low_freq_kept_separate_review,1,,True,36756.76,36756.76
basiskele fatih mahallesinde site,fatih_mahallesinde,low_freq_kept_separate_review,2,,True,44005.715,44005.715
acil basiskele'fatih mah site,basiskele_fatih,low_freq_kept_separate_review,1,,True,43062.5,43062.5
lotus evleri,lotus,low_freq_kept_separate_review,2,,True,53273.81,53273.81
basiskele vadi,vadi,low_freq_kept_separate_review,1,,True,41842.11,41842.11
basiskele vadi,ritim_vadi_evleri,near_dict_not_merged_conservative,1,,True,33227.01,32557.47
Manar Yuvacık,manar_yuvacik,low_freq_kept_separate_review,2,,True,40638.57,40638.57
Akasya Modern Evleri,akasya_modern,low_freq_kept_separate_review,2,,True,28847.22,28847.22
derin'den yatirim firsati site,derin_den_yatirim_firsati,low_freq_kept_separate_review,1,,True,21467.39,21467.39
invest globalden zeray kent,invest_globalden_zeray_kent,low_freq_kept_separate_review,1,,True,33333.33,33333.33
aydinkent konutlari,aydinkent,low_freq_kept_separate_review,1,,True,27727.27,27727.27
Secret Garden,secret_garden,low_freq_kept_separate_review,2,,True,42666.665,42666.665
Üstpark Yuvacık Sitesi,ustpark_yuvacik,low_freq_kept_separate_review,2,,True,42667.46,42667.46
May City Sitesi,may_city,low_freq_kept_separate_review,1,,True,33148.15,33148.15
Lotus Mahza,lotus_mahza,low_freq_kept_separate_review,2,,True,43876.78999999999,43876.78999999999
kw arven'den ted kolejine komsu havuzlu site,kw_arven_den_ted_kolejine_komsu_havuzlu,low_freq_kept_separate_review,1,,True,30937.5,30937.5
vizyon'dan site,vizyon_dan,low_freq_kept_separate_review,1,,True,44142.86,44142.86
Manar Yuvacık,manar_yuvacik,low_freq_kept_separate_review,2,,True,40638.57,40638.57
Manar Yuvacık 3,manar_yuvacik_3,low_freq_kept_separate_review,2,,True,40111.365000000005,40111.365000000005
pasadag mh'de konsept talha park,pasadag_mh_de_konsept_talha_park,low_freq_kept_separate_review,1,,True,41807.91,41807.91
yuvacik doga evleri,yuvacik_doga,low_freq_kept_separate_review,1,,True,32333.33,32333.33
basiskele tinaztepede site,tinaztepede,low_freq_kept_separate_review,1,,True,48843.28,48843.28
listing_portal satilik site,listing_portal,low_freq_kept_separate_review,1,,True,38823.53,38823.53
Temizel Tepe Loft,temizel_tepe_loft,low_freq_kept_separate_review,1,,True,52777.78,52777.78
yuvacik eksioglu metsan evleri,yuvacik_eksioglu_metsan,low_freq_kept_separate_review,1,,True,54597.7,54597.7
yuvacik manar sitesi,yuvacik_manar,low_freq_kept_separate_review,1,,True,43846.15,43846.15
Panoramakent 4,panoramakent,near_dict_not_merged_conservative,3,,True,,
konut kredili dusuk faiz yuksek konforlu site,kredili_dusuk_faiz_yuksek_konforlu,low_freq_kept_separate_review,1,,True,50000.0,50000.0
Manar Terrace,manar_terrace,low_freq_kept_separate_review,2,,True,40307.92,40307.92
Yuvacık Kalıcı Konutları 2 Ada,yuvacik_kalici_konutlari_2_ada,low_freq_kept_separate_review,2,,True,32663.635000000002,32663.635000000002
Yuvacık Kalıcı Konutları 2 Ada,yuvacik_kalici_konutlari_2_ada,low_freq_kept_separate_review,2,,True,32663.635000000002,32663.635000000002
basiskele yesilyurt mah.durupark evleri,yesilyurt_mah_durupark,low_freq_kept_separate_review,1,,True,48058.25,48058.25
bloklu butik site,bloklu_butik,low_freq_kept_separate_review,1,,True,34160.0,34160.0
Durupark Evleri Sitesi,durupark,low_freq_kept_separate_review,1,,True,41739.13,41739.13
yuvacik'ta prestijli site,yuvacik_ta_prestijli,low_freq_kept_separate_review,1,,True,35714.29,35714.29
basiskele'de butik site,basiskele_de_butik,low_freq_kept_separate_review,1,,True,41903.23,41903.23
Panoramakent 3,panoramakent_3,low_freq_kept_separate_review,1,,True,54166.67,54166.67
Panoramakent 3,panoramakent,near_dict_not_merged_conservative,1,,True,,
Gün Işığı Sitesi,gun_isigi,low_freq_kept_separate_review,1,,True,35652.17,35652.17
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de,low_freq_kept_separate_review,1,,True,32708.33,32708.33
Bulvar Başiskele Sitesi,bulvar,low_freq_kept_separate_review,2,,True,51688.655,51688.655
Yuvacık Kalıcı Konutları 10 Ada,yuvacik_kalici_konutlari_10_ada,low_freq_kept_separate_review,1,,True,27333.33,27333.33
Anatolia Evleri,anatolia,low_freq_kept_separate_review,1,,True,45112.78,45112.78
Panoramakent 1,panoramakent,near_dict_not_merged_conservative,5,,True,,
erenoglu gm'den satilik site,erenoglu_gm_den,low_freq_kept_separate_review,1,,True,60185.19,60185.19
Bulvar Başiskele Sitesi,bulvar,low_freq_kept_separate_review,2,,True,51688.655,51688.655
aydinkent kalici konutlari,aydinkent_kalici,low_freq_kept_separate_review,1,,True,30909.09,30909.09
basiskele'de asev muhit sitesi,basiskele_de_asev_muhit,low_freq_kept_separate_review,1,,True,53333.33,53333.33
Terasta Life,terasta_life,low_freq_kept_separate_review,1,,True,36363.64,36363.64
Yuvacık Kalıcı Konutları 1 Ada,yuvacik_kalici_konutlari_1_ada,low_freq_kept_separate_review,1,,True,34347.83,34347.83
arakat asansorlu butik site,asansorlu_butik,low_freq_kept_separate_review,1,,True,39600.0,39600.0
Panoramakent 2 Sitesi,panoramakent_2,low_freq_kept_separate_review,2,,True,46385.35,46385.35
Panoramakent 2 Sitesi,panoramakent,near_dict_not_merged_conservative,2,,True,,
yuksek giris butik site,yuksek_giris_butik,low_freq_kept_separate_review,1,,True,35000.0,35000.0
Torpidocular Sitesi,torpidocular,low_freq_kept_separate_review,1,,True,30769.23,30769.23
Clover Premium,clover_premium,low_freq_kept_separate_review,1,,True,42812.5,42812.5
Cevizli Vadi Evleri,cevizli_vadi,low_freq_kept_separate_review,1,,True,45000.0,45000.0
basiskele yaylacik mh.'de havuzlu site,yaylacik_mh_de_havuzlu,low_freq_kept_separate_review,1,,True,46333.33,46333.33
basiskele kullar yakacik'ta kacirilmayacak butik site,kullar_yakacik_ta_kacirilmayacak_butik,low_freq_kept_separate_review,1,,True,44285.71,44285.71
Kuba Sitesi,kuba,low_freq_kept_separate_review,1,,True,28461.54,28461.54
Küçük Yalı Evleri Sitesi,kucuk_yali,low_freq_kept_separate_review,1,,True,45145.63,45145.63
Yakut Konakları Sitesi,yakut_konaklari,low_freq_kept_separate_review,2,,True,35731.979999999996,35731.979999999996
Aydınkent Kalıcı Konutları 19 Ada,aydinkent_kalici_konutlari_19_ada,low_freq_kept_separate_review,1,,True,30454.55,30454.55
basiskele barbaros mah. site,barbaros_mah,low_freq_kept_separate_review,1,,True,30962.34,30962.34
basiskele yuvacikta site,yuvacikta,low_freq_kept_separate_review,1,,True,57500.0,57500.0
cb mahall'den tinaztepede site,cb_mahall_den_tinaztepede,low_freq_kept_separate_review,1,,True,31750.0,31750.0
merkezde essiz bir proje,merkezde_essiz_bir,low_freq_kept_separate_review,1,,True,56666.67,56666.67
basiskele pasadag 100. yil parla sit,pasadag_100_yil_parla,low_freq_kept_separate_review,1,,True,50000.0,50000.0
birikim gayrimenkulden site,birikim_gayrimenkulden,low_freq_kept_separate_review,1,,True,29350.0,29350.0
Polen Park Sitesi,polen_park,low_freq_kept_separate_review,1,,True,26428.57,26428.57
Semt Bahçecik Sitesi,semt_bahcecik,low_freq_kept_separate_review,1,,True,61111.11,61111.11
Bahçecik Kalıcı Konutlar,bahcecik_kalici_konutlar,low_freq_kept_separate_review,1,,True,35000.0,35000.0
bahama proje,bahama,low_freq_kept_separate_review,2,,True,40054.945,40054.945
kullar site,kullar,low_freq_kept_separate_review,1,,True,35925.93,35925.93
Özemsan Sitesi,ozemsan,low_freq_kept_separate_review,1,,True,34583.33,34583.33
Yıldız Sitesi,yildiz,low_freq_kept_separate_review,1,,True,28476.19,28476.19
vira evleri projesi,vira,low_freq_kept_separate_review,1,,True,35348.84,35348.84
alacati'dan yaylacik mh.'de havuzlu site,alacati_dan_yaylacik_mh_de_havuzlu,low_freq_kept_separate_review,1,,True,43571.43,43571.43
tanta emlak'tan satilik site,tanta_emlak_tan,low_freq_kept_separate_review,2,,True,40000.0,40000.0
basiskele kullar tepecik mah. site,kullar_tepecik_mah,low_freq_kept_separate_review,2,,True,30937.5,30937.5
basiskele barbaros mahallesinde site,barbaros_mahallesinde,low_freq_kept_separate_review,1,,True,37711.86,37711.86
egimsiz site,egimsiz,low_freq_kept_separate_review,2,,True,55861.245,55861.245
seymen rezidans,seymen,low_freq_kept_separate_review,1,,True,55714.29,55714.29
Yeniköy Kalıcı Konutları 12. Ada,yenikoy_kalici_konutlari_12_ada,low_freq_kept_separate_review,1,,True,34500.0,34500.0
Atakent Üstpark Sitesi,atakent_ustpark,low_freq_kept_separate_review,1,,True,35625.0,35625.0
Selimoğlu Sitesi,selimoglu,low_freq_kept_separate_review,1,,True,32857.14,32857.14
basiskele dongel'de site,dongel_de,low_freq_kept_separate_review,1,,True,40740.74,40740.74
bahama insaat projesi,bahama_insaat,low_freq_kept_separate_review,1,,True,48913.04,48913.04
Işıl Sitesi,isil,low_freq_kept_separate_review,1,,True,32692.31,32692.31
egimsiz site,egimsiz,low_freq_kept_separate_review,2,,True,55861.245,55861.245
Üst Park Atakent,ust_park_atakent,low_freq_kept_separate_review,2,,True,37931.035,37931.035
seyr-i vadi,seyr_i_vadi,low_freq_kept_separate_review,1,,True,40000.0,40000.0
Erguvan Konakları,erguvan_konaklari,low_freq_kept_separate_review,2,,True,38013.89,38013.89
Reyhan Konutları,reyhan,low_freq_kept_separate_review,1,,True,31600.0,31600.0
Villa Liva,villa_liva,low_freq_kept_separate_review,2,,True,50576.925,50576.925
Rose Garden Evleri,rose_garden,low_freq_kept_separate_review,2,,True,35959.6,35959.6
Kardelen Sitesi,kardelen,low_freq_kept_separate_review,2,,True,34598.715000000004,34598.715000000004
Yüsra Evleri,yusra,low_freq_kept_separate_review,1,,True,28000.0,28000.0
Dlux Başiskele,dlux,low_freq_kept_separate_review,1,,True,43225.81,43225.81
Garden Başiskele Sitesi,garden,low_freq_kept_separate_review,1,,True,40882.35,40882.35
vadi suit sitesi,vadi_suit,low_freq_kept_separate_review,1,,True,35121.21,35121.21
Erguvan Konakları,erguvan_konaklari,low_freq_kept_separate_review,2,,True,38013.89,38013.89
Villa Liva,villa_liva,low_freq_kept_separate_review,2,,True,50576.925,50576.925
platinium evleri,platinium,low_freq_kept_separate_review,1,,True,36176.47,36176.47
Panorama 3 Sitesi,panorama_3,low_freq_kept_separate_review,1,,True,68780.49,68780.49
vizyon'dan basiskelede site,vizyon_dan_basiskelede,low_freq_kept_separate_review,1,,True,48625.0,48625.0
basiskele yesilyurt site,yesilyurt,low_freq_kept_separate_review,2,,True,40285.92,40285.92
kocaeli yesilyurt site,yesilyurt,low_freq_kept_separate_review,2,,True,40285.92,40285.92
Panoramakent 4,panoramakent,near_dict_not_merged_conservative,3,,True,,
Manar Yuvacık 2,manar_yuvacik_2,low_freq_kept_separate_review,1,,True,44636.02,44636.02
mona vadi,mona_vadi,low_freq_kept_separate_review,1,,True,31276.6,31276.6
Panoramakent 2 Sitesi,panoramakent_2,low_freq_kept_separate_review,2,,True,46385.35,46385.35
Panoramakent 2 Sitesi,panoramakent,near_dict_not_merged_conservative,2,,True,,
yuvacik pasadag yesil vadi,yuvacik_pasadag_yesil_vadi,low_freq_kept_separate_review,1,,True,41000.0,41000.0
Gökçe Sitesi,gokce,low_freq_kept_separate_review,1,,True,36475.41,36475.41
Loca Torunoğlu Sitesi,loca_torunoglu,low_freq_kept_separate_review,1,,True,45588.24,45588.24
İnci Evleri,inci,low_freq_kept_separate_review,1,,True,33437.5,33437.5
cb- mark' tan vadi,cb_mark_tan_vadi,low_freq_kept_separate_review,1,,True,46250.0,46250.0
cb envoy'dan yesilyurt mah. site,cb_envoy_dan_yesilyurt_mah,low_freq_kept_separate_review,1,,True,35344.83,35344.83
Secret Garden,secret_garden,low_freq_kept_separate_review,2,,True,42666.665,42666.665
Cadde 53 Konutları,cadde_53,low_freq_kept_separate_review,1,,True,31176.47,31176.47
Panoramakent 1 Sitesi,panoramakent,near_dict_not_merged_conservative,5,,True,,
Rozna Sitesi,rozna,low_freq_kept_separate_review,1,,True,48588.79,48588.79
Yonca Evleri 2,yonca_evleri_2,low_freq_kept_separate_review,1,,True,41666.67,41666.67
Memur-Sen Sitesi,memur_sen,low_freq_kept_separate_review,1,,True,28500.0,28500.0
May Kent 2 Sitesi,may_kent_2,low_freq_kept_separate_review,2,,True,29105.605,29105.605
Royal Park Sitesi,royal_park,low_freq_kept_separate_review,1,,True,35714.29,35714.29
basiskele'de havuzlu site,basiskele_de_havuzlu,low_freq_kept_separate_review,2,,True,44494.649999999994,44494.649999999994
Panoramakent 1,panoramakent,near_dict_not_merged_conservative,5,,True,,
Panoramakent 1,panoramakent,near_dict_not_merged_conservative,5,,True,,
Lotus Mahza,lotus_mahza,low_freq_kept_separate_review,2,,True,43876.78999999999,43876.78999999999
remax dreamden basiskele fatih'de site,remax_dreamden_fatih_de,low_freq_kept_separate_review,1,,True,32333.33,32333.33
lotus evleri,lotus,low_freq_kept_separate_review,2,,True,53273.81,53273.81
basiskele yesilyurtda site,yesilyurtda,low_freq_kept_separate_review,1,,True,42500.0,42500.0
Torunoğulları Park 2,torunogullari_park_2,low_freq_kept_separate_review,1,,True,29679.14,29679.14
Akasya Modern Evleri,akasya_modern,low_freq_kept_separate_review,2,,True,28847.22,28847.22
basiskele pasadag mah. full deniz manzarali site,pasadag_mah_full_deniz_manzarali,low_freq_kept_separate_review,1,,True,46470.59,46470.59
cb mahall'den pasadag'da site,cb_mahall_den_pasadag_da,low_freq_kept_separate_review,1,,True,42857.14,42857.14
Supark Megaron,supark_megaron,low_freq_kept_separate_review,1,,True,41319.44,41319.44
Akven Armoni Teras,akven_armoni_teras,low_freq_kept_separate_review,1,,True,51415.09,51415.09
ManarYuvacık Sitesi,manaryuvacik,low_freq_kept_separate_review,1,,True,48529.41,48529.41
Boyuneğmez Yaşam Evleri,boyunegmez_yasam,low_freq_kept_separate_review,1,,True,35384.62,35384.62
basiskele'de havuzlu site,basiskele_de_havuzlu,low_freq_kept_separate_review,2,,True,44494.649999999994,44494.649999999994
Panoramakent 1 Sitesi,panoramakent,near_dict_not_merged_conservative,5,,True,,
Vistapark Evleri,vistapark,low_freq_kept_separate_review,1,,True,60000.0,60000.0
cati dubleks havuzlu site,cati_dubleks_havuzlu,low_freq_kept_separate_review,1,,True,34545.45,34545.45
Hanzade Palace Sitesi,hanzade_palace,low_freq_kept_separate_review,1,,True,36131.39,36131.39
Venedik Evleri,venedik,low_freq_kept_separate_review,1,,True,33571.43,33571.43
listing_portal vadi yuvacik site,listing_portal_vadi_yuvacik,low_freq_kept_separate_review,1,,True,31843.75,31843.75
dongelde site,dongelde,low_freq_kept_separate_review,1,,True,30774.19,30774.19
Dream Gardens Sitesi,dream_gardens,low_freq_kept_separate_review,2,,True,30719.21,30719.21
daire havuzlu site,havuzlu,low_freq_kept_separate_review,1,,True,55625.0,55625.0
basiskelede prejtijli proje,basiskelede_prejtijli,low_freq_kept_separate_review,1,,True,35000.0,35000.0
yuz yapi'dan deniz ve vadi,yuz_yapi_dan_deniz_ve_vadi,low_freq_kept_separate_review,1,,True,43421.05,43421.05
