experiment,duplex_feature_mode,site_extraction_mode,site_project_encoding,rows,r2,log_r2,mape,mae,median_ape,variance_ratio,large_home_r2,large_home_mape,expensive_decile_bias,cheap_decile_bias,old_v21_r2_ref,old_v21_mape_ref,selected,notes
control_v21_on_new_data,none,full,foldsafe_target,1753,0.4833413112579207,0.4900757570171362,0.1048054334162223,4103.294950962178,0.0817987994814753,0.459328871218047,0.3469410942592292,0.1164003900987672,-9676.026685355371,5264.942714007411,0.5059,0.1055,False,
duplex_flags_only,flags,full,foldsafe_target,1753,0.4905058238761666,0.4960815161474046,0.103976678761159,4068.7006316816287,0.0798792383783713,0.4704166195096457,0.3523514814445144,0.1155896825154932,-9510.815872736235,5212.866841204527,0.5059,0.1055,False,
largehome_refresh_only,largehome,full,foldsafe_target,1753,0.482349193048466,0.4890910893552,0.1049987364782789,4111.470767814107,0.0826233208832353,0.4600457396536696,0.3456871586996493,0.11662376563353,-9676.248029732542,5257.613761965677,0.5059,0.1055,False,no_r2_lift_vs_control; large_home_r2_worse
duplex_interactions,interactions,full,foldsafe_target,1753,0.49181579342533,0.4975109660070693,0.1039349516876612,4069.465666470158,0.0799628744230492,0.4774022607347701,0.354198287731171,0.1148242670047471,-9416.720059122918,5145.675311599318,0.5059,0.1055,True,selected vs control_v21_on_new_data (R2 + MAPE + large_home_r2 + expensive bias gates)
full_v23,full,full,foldsafe_target,1753,0.4910144703080256,0.4971320786817347,0.1037827641251929,4063.279858703044,0.0803983149994404,0.4765062994276617,0.353632349973527,0.114881853890355,-9446.27665455268,5150.289831764161,0.5059,0.1055,False,
