county,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
İzmit,2597,0.13035910608915194,0.10379377135701581,5062.29865423564,3905.330290552345,39896.665725837505,39468.63535066513
Gebze,1803,0.12481748638622218,0.09793002868209648,5481.017413631675,4179.071665220894,44366.45626178591,43585.172636668955
Gölcük,1179,0.12013979567028348,0.0924714997782716,3857.2276138160123,2930.4258545279263,32997.96004240882,32481.43750611989
Körfez,786,0.11827613304499715,0.09448247616797613,4197.770636509816,3320.999722098688,36053.53564885496,35466.64150177328
Derince,685,0.10909147884423735,0.08611460907923092,3899.6133105192102,2883.9434862578382,37157.47496350365,36867.49825704086
Başiskele,1753,0.10206599513958572,0.07991985906301717,4002.780210140739,3039.1557958849953,38990.79633770679,38634.22328222417
Kartepe,1008,0.10198148117651902,0.08267160059469789,4044.515028328063,3144.2521635536214,39015.71745039682,38715.30269768257
Çayırova,1234,0.09686814272428333,0.07370595832188771,4055.2696376576546,3007.317034600481,42404.363233387354,42069.47811391657
Darıca,3318,0.0845952761004279,0.05905532643243526,4157.704247677796,2916.5868179894896,50189.90037371911,49818.377267401185
