m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
200+,936,5.693376068376068,7.0,2,0,0.9176180570467658,38008.0210042735
0-75,633,2.853080568720379,0.0,0,0,1.1150291689215694,51794.26647709321
126-150,2954,2.6002031144211237,0.0,3,0,0.9723504313046807,38293.63968178741
101-125,3354,2.3694096601073347,0.0,7,0,0.9908069760710122,40982.23652057245
151-200,2524,2.2654516640253566,0.0,2,0,0.9572791885648226,38494.6083637084
76-100,3962,2.0214538112064613,0.0,1,0,1.0177489856834536,47132.808144876326
