room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
6+2,11,9.090909090909092,7.0,0,0,0.9537826403538452,36762.729090909095
6+1,35,8.542857142857143,7.0,0,0,0.8477394283959856,33829.135714285716
Stüdyo (1+0),26,8.076923076923077,7.0,0,0,1.2013436914346385,69347.43923076923
3+3,1,8.0,8.0,0,0,0.636388446523325,29772.73
5+2,51,7.96078431372549,7.0,0,0,0.8985947104339904,33532.12235294117
7+1,5,7.6,7.0,0,0,0.9590667311447718,42496.554
4+3,1,7.0,7.0,0,0,0.959396336992057,27857.14
5+3,1,7.0,7.0,0,0,0.9505792095455647,40000.0
6+3,1,7.0,7.0,0,0,0.7958089256409192,25757.58
1.5+1,8,6.75,5.0,0,0,1.1810764335953041,46350.39125
3+0,2,6.5,6.5,0,0,0.9821541003179237,32567.31
4.5+1,21,6.476190476190476,8.0,0,0,0.899255533640168,36395.701428571425
3+2,35,5.714285714285714,5.0,1,0,0.9123133309975541,39661.83257142857
4+2,91,5.472527472527473,5.0,0,0,0.8727317805688068,35144.72483516484
5+1,275,5.127272727272727,5.0,1,0,0.8748293809730505,35009.11469090909
2+0,2,5.0,5.0,0,0,0.9083999614967637,42615.130000000005
3.5+1,27,4.481481481481482,0.0,0,0,1.0950927121795493,46792.30740740741
2.5+1,29,3.0689655172413794,0.0,0,0,0.9794973978869749,44384.783793103445
5.5+1,5,3.0,0.0,0,0,0.9840789020981747,36271.652
4+1,1563,2.9872040946896994,0.0,0,0,0.9556666375011991,38500.29806142034
2+2,6,2.8333333333333335,2.5,0,0,0.9126395341331557,39490.04833333333
1+1,550,2.7563636363636363,0.0,0,0,1.083195457218285,49900.5216
3+1,5783,2.4048071934981845,0.0,8,0,0.9810318571856165,39859.204184679234
2+1,5833,2.1863535059146235,0.0,5,0,1.0079286484688679,44699.870886336364
4+0,1,0.0,0.0,0,0,1.2505993604174788,68691.59
