purpose,county,total_rows,yerden_count,yerden_share,median_unit_price_yerden,median_unit_price_other
sale,Başiskele,1786,981,0.5492721164613662,38461.54,36666.67
sale,Darıca,3440,1739,0.5055232558139535,53142.86,45000.0
sale,Derince,708,134,0.18926553672316385,40149.255000000005,35000.0
sale,Gebze,1844,169,0.09164859002169197,47433.04,42352.94
sale,Gölcük,1232,286,0.23214285714285715,37248.445,30681.82
sale,Kartepe,1024,528,0.515625,38237.58,37006.494999999995
sale,Körfez,811,132,0.16276202219482122,39807.69,32142.86
sale,Çayırova,1283,154,0.12003117692907249,45045.375,41176.47
sale,İzmit,2672,338,0.12649700598802396,44716.905,37500.0
sale,__ALL__,14800,4461,0.3014189189189189,44841.27,38400.0
rental,Başiskele,648,220,0.3395061728395062,,
rental,Darıca,726,58,0.07988980716253444,,
rental,Derince,284,17,0.05985915492957746,,
rental,Gebze,774,13,0.016795865633074936,,
rental,Gölcük,935,102,0.10909090909090909,,
rental,Kartepe,408,120,0.29411764705882354,,
rental,Körfez,572,17,0.02972027972027972,,
rental,Çayırova,343,12,0.03498542274052478,,
rental,İzmit,2180,154,0.07064220183486239,,
rental,__ALL__,6870,713,0.10378457059679767,,
