heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,8,0.2115385825811323,0.19429164681577832,6998.663405740153,4995.830514638283,29146.80125,29488.743306356577
Yok,46,0.17949628803235101,0.15542703214311177,6485.305613274575,6106.493323409142,40565.75065217391,39664.532149069615
Doğalgaz Sobası,66,0.1695969296906927,0.13694709775077613,5132.652536710311,3862.174034508833,29475.987424242423,29530.09739036486
,30,0.15940306343277222,0.14879746312375602,8335.499160592623,6879.645754489542,49576.808666666664,45278.56685025771
VRV,4,0.1494516672148584,0.14043382291432638,12361.158535003204,10339.506308873337,68758.1325,57709.22668710064
Klima,18,0.13305985502839274,0.09236864510307564,5735.455061850033,3722.106996046219,44771.14333333333,45582.154311595135
Merkezi,278,0.12825173856542177,0.09572665143014233,4772.010627231581,3597.7399552776824,38748.37248201439,37813.376147767995
Kombi (Elektrik),21,0.12572328618686437,0.11081895726404599,5326.868024903737,5005.538693271985,42346.8680952381,41820.88171629719
Kombi (Doğalgaz),8692,0.11891017369231775,0.09240907583274263,4603.185274413042,3470.916836614295,39468.58575241602,39152.71005379089
Kat Kaloriferi,42,0.10533217044809728,0.07678472104113954,3662.98474101296,2613.7004639743245,35561.651190476194,35488.40024545511
Merkezi (Pay Ölçer),741,0.10332003448468216,0.0752938563263394,5238.797713255296,3589.537796348821,50869.21767881241,49782.57511650049
Yerden Isıtma,4417,0.08447010999878823,0.06300923415039307,3816.990761699895,2790.0963225408777,45803.237120217345,45272.45246260848
