county,district,rows,matched_demo_rows,matched_county_demo_rows,avg_demo_coverage_score,match_rate,county_match_rate
Başiskele,Altınkent Mh.,58,58,58,0.875,1.0,1.0
Başiskele,Atakent Mah.,16,16,16,0.875,1.0,1.0
Başiskele,Aydınkent Mh.,29,29,29,0.875,1.0,1.0
Başiskele,Bahçecik Kılıçaslan Mh.,16,0,0,0.0,0.0,0.0
Başiskele,Bahçecik Şehitekrem Mh.,5,0,0,0.0,0.0,0.0
Başiskele,Barbaros Mah.,218,218,218,0.875,1.0,1.0
Başiskele,Damlar Mah.,10,10,10,0.875,1.0,1.0
Başiskele,Döngel Mh.,85,85,85,0.875,1.0,1.0
Başiskele,Fatih Mah.,360,360,360,0.875,1.0,1.0
Başiskele,Havuzlubahçe Mh.,13,13,13,0.875,1.0,1.0
Başiskele,Karşıyaka Mh.,6,6,6,0.875,1.0,1.0
Başiskele,Kullar Merkez Mh.,12,0,0,0.0,0.0,0.0
Başiskele,Kullar Tepecik Mh.,20,20,20,0.875,1.0,1.0
Başiskele,Kullar Yakacık Mh.,43,43,43,0.875,1.0,1.0
Başiskele,Körfez Mh.,27,27,27,0.875,1.0,1.0
Başiskele,Mahmutpaşa Mh.,45,45,45,0.875,1.0,1.0
Başiskele,Paşadağ Mh.,185,185,185,0.875,1.0,1.0
Başiskele,Sahil Mah.,7,7,7,0.875,1.0,1.0
Başiskele,Serdar Mah.,75,75,75,0.875,1.0,1.0
Başiskele,Seymen Mah.,22,22,22,0.875,1.0,1.0
Başiskele,Tepecik Mh.,1,1,1,0.75,1.0,1.0
Başiskele,Vezirçiftliği Mh.,1,1,1,0.875,1.0,1.0
Başiskele,Yaylacık Mh.,56,56,56,0.875,1.0,1.0
Başiskele,Yeniköy Merkez Mh.,29,29,29,0.875,1.0,1.0
Başiskele,Yeşilkent Mh.,9,9,9,0.875,1.0,1.0
Başiskele,Yeşilyurt Mh.,409,409,409,0.875,1.0,1.0
Başiskele,Yuvacık Yakacık Mh.,1,1,1,0.875,1.0,1.0
Darıca,Abdi İpekçi Mh.,97,97,97,0.875,1.0,1.0
Darıca,Bayramoğlu Mh.,405,405,405,0.875,1.0,1.0
Darıca,Bağlarbaşı Mh.,552,552,552,0.875,1.0,1.0
Darıca,Cami Mah.,163,163,163,0.875,1.0,1.0
Darıca,Emek Mah.,199,199,199,0.875,1.0,1.0
Darıca,Fevzi Çakmak Mh.,253,0,0,0.0,0.0,0.0
Darıca,Kazım Karabekir Mh.,437,0,0,0.0,0.0,0.0
Darıca,Nenehatun Mh.,295,295,295,0.875,1.0,1.0
Darıca,Osman Gazi Mah.,338,0,0,0.0,0.0,0.0
Darıca,Piri Reis Mah.,221,221,221,0.875,1.0,1.0
Darıca,Sırasöğütler Mh.,331,331,331,0.875,1.0,1.0
Darıca,Yalı Mh.,20,20,20,0.875,1.0,1.0
Darıca,Yeni Mah.,19,19,19,0.875,1.0,1.0
Darıca,Zincirlikuyu Mah.,18,18,18,0.875,1.0,1.0
Derince,Deniz Mah.,4,4,4,0.875,1.0,1.0
Derince,Dumlupınar Mh.,50,50,50,0.875,1.0,1.0
Derince,Fatih Sultan Mah.,74,74,74,0.875,1.0,1.0
Derince,Mersincik Mah.,17,17,17,0.875,1.0,1.0
Derince,Sırrıpaşa Mh.,70,70,70,0.875,1.0,1.0
Derince,Yavuz Sultan Mah.,121,121,121,0.875,1.0,1.0
Derince,Yenikent Mah.,122,122,122,0.875,1.0,1.0
Derince,Çenedağ Mh.,92,92,92,0.875,1.0,1.0
Derince,Çınarlı Mh.,92,92,92,0.875,1.0,1.0
Derince,İbnisina Mh.,49,49,49,0.875,1.0,1.0
Gebze,Adem Yavuz Mah.,85,85,85,0.875,1.0,1.0
Gebze,Arapçeşme Mh.,85,85,85,0.875,1.0,1.0
Gebze,Barış Mh.,219,219,219,0.875,1.0,1.0
Gebze,Beylikbağı Mh.,28,28,28,0.875,1.0,1.0
Gebze,Cumhuriyet Mah.,77,77,77,0.875,1.0,1.0
Gebze,Eskihisar Mh.,18,18,18,0.875,1.0,1.0
Gebze,Gaziler Mah.,87,87,87,0.875,1.0,1.0
Gebze,Güzeller Mh.,57,57,57,0.875,1.0,1.0
Gebze,Hacıhalil Mh.,29,29,29,0.875,1.0,1.0
Gebze,Hürriyet Mh.,7,7,7,0.875,1.0,1.0
Gebze,Kirazpınar Mh.,94,94,94,0.875,1.0,1.0
Gebze,Köşklü Çeşme Mh.,163,163,163,0.875,1.0,1.0
Gebze,Mevlana Mah.,72,72,72,0.875,1.0,1.0
Gebze,Mimar Sinan Mah.,80,80,80,0.875,1.0,1.0
Gebze,Mustafapaşa Mh.,108,108,108,0.875,1.0,1.0
Gebze,Osman Yılmaz Mh.,183,183,183,0.875,1.0,1.0
Gebze,Sultan Orhan Mah.,29,29,29,0.875,1.0,1.0
Gebze,Tatlıkuyu Mh.,128,128,128,0.875,1.0,1.0
Gebze,Ulus Mah.,26,26,26,0.875,1.0,1.0
Gebze,Yavuz Selim Mah.,5,5,5,0.875,1.0,1.0
Gebze,Yenikent Mah.,59,59,59,0.875,1.0,1.0
Gebze,İnönü Mh.,50,50,50,0.875,1.0,1.0
Gebze,İstasyon Mh.,125,125,125,0.875,1.0,1.0
Gölcük,Atatürk Mh.,45,45,45,0.875,1.0,1.0
Gölcük,Cumhuriyet Mah.,51,51,51,0.875,1.0,1.0
Gölcük,Değirmendere Merkez Mh.,39,39,39,0.875,1.0,1.0
Gölcük,Değirmendere Yalı Mh.,34,34,34,0.875,1.0,1.0
Gölcük,Donanma Mah.,56,56,56,0.875,1.0,1.0
Gölcük,Dumlupınar Mh.,25,25,25,0.875,1.0,1.0
Gölcük,Düzağaç Mh.,17,17,17,0.875,1.0,1.0
Gölcük,Halıdere Yalı Mh.,17,17,17,0.875,1.0,1.0
Gölcük,Halıdere Yeni Mh.,3,3,3,0.875,1.0,1.0
Gölcük,Hisareyn Merkez Mah.,51,51,51,0.875,1.0,1.0
Gölcük,Karaköprü Mh.,59,59,59,0.875,1.0,1.0
Gölcük,Kavaklı Mh.,43,43,43,0.875,1.0,1.0
Gölcük,Körfez Mh.,27,27,27,0.875,1.0,1.0
Gölcük,Merkez Mah.,43,43,43,0.875,1.0,1.0
Gölcük,Piyalepaşa Mh.,74,74,74,0.875,1.0,1.0
