county,feature,rows,non_null,coverage,mean
Başiskele,attr_has_elevator,1753,1753,1.0,0.4740444951511694
Başiskele,attr_has_parking,1753,1746,0.9960068454078722,0.9868270332187858
Başiskele,attr_has_balcony,1753,1753,1.0,0.9897318881916715
Başiskele,attr_is_site_inside,1753,1745,0.995436394751854,0.366189111747851
Başiskele,attr_credit_eligible,1753,0,0.0,
Başiskele,attr_building_age_score,1753,1753,1.0,0.8976611523103253
Başiskele,attr_heating_quality_score,1753,1753,1.0,0.9273702224757557
Başiskele,attr_total_quality_score,1753,1753,1.0,0.8042930141735048
Darıca,attr_has_elevator,3318,3318,1.0,0.5762507534659433
Darıca,attr_has_parking,3318,3318,1.0,0.9541892706449668
Darıca,attr_has_balcony,3318,3318,1.0,0.9569017480409886
Darıca,attr_is_site_inside,3318,3318,1.0,0.10006027727546715
Darıca,attr_credit_eligible,3318,0,0.0,
Darıca,attr_building_age_score,3318,3318,1.0,0.8954189270644967
Darıca,attr_heating_quality_score,3318,3318,1.0,0.9244002411091018
Darıca,attr_total_quality_score,3318,3318,1.0,0.8076523173263681
Derince,attr_has_elevator,685,685,1.0,0.2569343065693431
Derince,attr_has_parking,685,685,1.0,0.8905109489051095
Derince,attr_has_balcony,685,685,1.0,0.9883211678832117
Derince,attr_is_site_inside,685,685,1.0,0.2569343065693431
Derince,attr_credit_eligible,685,0,0.0,
Derince,attr_building_age_score,685,685,1.0,0.7087591240875911
Derince,attr_heating_quality_score,685,685,1.0,0.882948905109489
Derince,attr_total_quality_score,685,685,1.0,0.7261629359286293
Gebze,attr_has_elevator,1803,1803,1.0,0.7287853577371048
Gebze,attr_has_parking,1803,1796,0.9961175818080976,0.9170378619153675
Gebze,attr_has_balcony,1803,1803,1.0,0.9029395452024404
Gebze,attr_is_site_inside,1803,1796,0.9961175818080976,0.16258351893095768
Gebze,attr_credit_eligible,1803,0,0.0,
Gebze,attr_building_age_score,1803,1803,1.0,0.7535496394897394
Gebze,attr_heating_quality_score,1803,1803,1.0,0.865851358846367
Gebze,attr_total_quality_score,1803,1803,1.0,0.7542925679423185
Gölcük,attr_has_elevator,1179,1179,1.0,0.17387616624257846
Gölcük,attr_has_parking,1179,1179,1.0,0.8948261238337574
Gölcük,attr_has_balcony,1179,1179,1.0,0.9830364715860899
Gölcük,attr_is_site_inside,1179,1179,1.0,0.26293469041560646
Gölcük,attr_credit_eligible,1179,0,0.0,
Gölcük,attr_building_age_score,1179,1179,1.0,0.6493638676844783
Gölcük,attr_heating_quality_score,1179,1179,1.0,0.8784223918575063
Gölcük,attr_total_quality_score,1179,1179,1.0,0.7014584864762983
Kartepe,attr_has_elevator,1008,1006,0.998015873015873,0.2952286282306163
Kartepe,attr_has_parking,1008,1004,0.996031746031746,0.9790836653386454
Kartepe,attr_has_balcony,1008,1008,1.0,0.9871031746031746
Kartepe,attr_is_site_inside,1008,1004,0.996031746031746,0.3904382470119522
Kartepe,attr_credit_eligible,1008,0,0.0,
Kartepe,attr_building_age_score,1008,1008,1.0,0.890029761904762
Kartepe,attr_heating_quality_score,1008,1008,1.0,0.925188492063492
Kartepe,attr_total_quality_score,1008,1008,1.0,0.7868274911816578
Körfez,attr_has_elevator,786,786,1.0,0.24936386768447838
Körfez,attr_has_parking,786,786,1.0,0.8129770992366412
Körfez,attr_has_balcony,786,786,1.0,0.9745547073791349
Körfez,attr_is_site_inside,786,786,1.0,0.22646310432569974
Körfez,attr_credit_eligible,786,0,0.0,
Körfez,attr_building_age_score,786,786,1.0,0.6622773536895674
Körfez,attr_heating_quality_score,786,786,1.0,0.8701017811704833
Körfez,attr_total_quality_score,786,786,1.0,0.6987704975968334
Çayırova,attr_has_elevator,1234,1234,1.0,0.6118314424635333
Çayırova,attr_has_parking,1234,1229,0.9959481361426256,0.9593165174938975
Çayırova,attr_has_balcony,1234,1234,1.0,0.9586709886547812
Çayırova,attr_is_site_inside,1234,1229,0.9959481361426256,0.15134255492270138
Çayırova,attr_credit_eligible,1234,0,0.0,
Çayırova,attr_building_age_score,1234,1234,1.0,0.8657212317666126
Çayırova,attr_heating_quality_score,1234,1234,1.0,0.8686223662884927
Çayırova,attr_total_quality_score,1234,1234,1.0,0.792430713128039
İzmit,attr_has_elevator,2597,2578,0.9926838659992299,0.4732350659425912
İzmit,attr_has_parking,2597,2590,0.9973045822102425,0.8455598455598455
İzmit,attr_has_balcony,2597,2596,0.9996149403157489,0.9337442218798151
İzmit,attr_is_site_inside,2597,2589,0.9969195225259915,0.4094244882193897
İzmit,attr_credit_eligible,2597,0,0.0,
İzmit,attr_building_age_score,2597,2597,1.0,0.6374470542934154
İzmit,attr_heating_quality_score,2597,2597,1.0,0.872352714670774
İzmit,attr_total_quality_score,2597,2597,1.0,0.7223220086292862
