county,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Gölcük,571,3.7705779334500877,0.0,0,0,1.0075807136487975,31298.68380035026
Karamürsel,202,3.633663366336634,0.0,0,0,1.0083115592473901,38340.65663366336
İzmit,1329,2.5891647855530473,0.0,1,0,1.0033649590780616,39941.79457486833
Başiskele,856,1.77803738317757,0.0,0,0,1.0074772712413607,40817.769310747666
