heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yok,19,0.264068061730498,0.25118982222079084,9601.40275576463,8321.871253585323,36918.54947368421,34652.49001829774
VRV,3,0.22025722473951995,0.27335994779174505,18794.39068102044,23159.66163600074,78913.62000000001,62962.56776530567
Doğalgaz Sobası,27,0.1920831638411052,0.18102562430938074,5388.587910687806,4375.02142286938,27580.844074074077,27393.633419093225
Soba,3,0.18494333838406798,0.23685239098174699,6900.162139954758,4909.303458024235,32377.5,28750.2068320614
Kombi (Elektrik),6,0.14304498245806938,0.15325876051300602,4935.471091900573,4209.57311578963,32079.278333333335,36527.7137322096
Kat Kaloriferi,15,0.13965249660966256,0.15842018034967567,5064.388449967988,4734.291911623797,36340.72,36122.9459517273
Klima,5,0.1374331752815574,0.11663641268046396,4660.711886869363,5507.830339607659,34030.812,33254.14988055583
Kombi (Doğalgaz),1883,0.13706858176559192,0.11112878787173033,4833.439874724183,3788.9995963984475,36164.29989909718,35868.0449511033
Merkezi,115,0.1256065191610532,0.11657647667972683,4604.577234404498,3814.9667334593905,37108.953652173914,36678.55750529873
Yerden Isıtma,696,0.11033042328516933,0.08498544323920235,4834.614024088589,3647.9889478005134,43350.06400862069,42560.5804637317
Merkezi (Pay Ölçer),183,0.09229740065862026,0.06789659189372935,4345.313388050924,2635.4893110312114,45245.85398907104,44629.51606273425
,3,0.0739938078294969,0.08160749844628461,3327.267457494529,3147.7179137959756,44908.426666666666,43058.05515652415
