experiment,calibration_mode,ensemble_profile,target_profile,rows,r2,log_r2,mape,mae,median_ape,variance_ratio,large_home_r2,large_home_mape,cheap_decile_bias,expensive_decile_bias,selected,notes
control_none_balanced,none,balanced,residual_log,919,0.4707686238439077,0.47863385233351363,0.10965835353426871,4522.485094269292,0.0893591954998395,0.42857077786913483,0.2567259162686343,0.1264903871889595,5158.6054605307,-10821.875446696662,True,no candidate beat control; keep control_none_balanced (calibration_mode=none)
linear_balanced,linear,balanced,residual_log,919,0.4675555260152189,0.47443280364391216,0.11009354581006575,4540.509988253899,0.08913203681807354,0.4524762846325013,0.24285768656603024,0.1272441839608227,5042.040083025061,-10662.437728585674,False,
isotonic_balanced,isotonic,balanced,residual_log,919,0.4639455619857922,0.47015544736268,0.11058232849855693,4555.447227955811,0.09156183167990246,0.5044821454676627,0.22468778548036805,0.1300951128325813,4851.665229181584,-9882.259495961129,False,
control_none_no_ridge,none,no_ridge,residual_log,919,0.441282110312171,0.4551288525765417,0.11253006329975355,4651.406520140267,0.09240477358098854,0.3983265199516729,0.23629783727100173,0.1288160854503005,5239.080899515636,-11553.666721698768,False,
linear_no_ridge,linear,no_ridge,residual_log,919,0.43862025662700754,0.45079620798205067,0.11306085227092537,4668.284062229767,0.09331917798650706,0.42389262418994467,0.2216558599659555,0.1296716556097576,5147.622730126063,-11339.5796028995,False,
isotonic_no_ridge,isotonic,no_ridge,residual_log,919,0.43964980422120603,0.4525700470025287,0.11365886505317788,4694.834532894347,0.0941134113292153,0.48222831328037374,0.21972609577912416,0.1316427550609662,4925.08887462753,-10666.919846915614,False,
