site_inside,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Belirtilmemiş,1,0.4545997154020436,0.4545997154020436,10877.921111977877,10877.921111977877,23928.57,34806.49111197788
Evet,385,0.11157549045920369,0.09326531499896487,4685.588594475782,3646.335501100526,42168.258181818186,41809.254708789085
Hayır,530,0.10129672411781289,0.08301459875902337,4119.321553467,3197.195811649104,40022.29345283019,39604.389119249485
,3,0.0813365980818843,0.08545850461700989,3475.784294353405,4272.925230850495,44908.426666666666,41590.40684543194
