room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
6+1,1,7.0,7.0,0,0,1.3439832316205667,52777.78
4.5+1,2,6.0,6.0,0,0,0.8835492325044068,34219.0
5+1,6,5.5,7.0,0,0,0.8354130749727676,36316.30333333334
2+2,1,5.0,5.0,0,0,1.0598213661555018,42400.0
3+2,1,5.0,5.0,0,0,0.9950433281751845,36267.61
4+2,1,5.0,5.0,0,0,0.9126812807981893,34666.67
3.5+1,2,4.0,4.0,0,0,1.6082558342952038,61497.96
4+1,80,2.0625,0.0,0,0,0.9676555182738711,38162.069875
2+1,384,1.734375,0.0,0,0,1.0142053700306681,42310.314427083336
1+1,40,1.725,0.0,0,0,1.1931102096718869,49987.860499999995
3+1,400,1.6075,0.0,0,0,0.9877673933917492,39217.910575
2.5+1,1,0.0,0.0,0,0,0.9772701302045719,43000.0
