site_project_id,n,mean_actual,mean_pred,mean_residual
natura_life_yuvacik,1,63186.81,42800.97030739188,-20385.83969260812
yuvacik_pasadagi_mh,1,57241.38,37660.401226153335,-19580.978773846662
merkezde_essiz_bir,1,56666.67,38224.793045769926,-18441.876954230072
temizel_tepe_loft,1,52777.78,34885.76577428852,-17892.01422571148
ustgrup_lifeside,1,64685.31,47110.85252927928,-17574.45747072072
ara,1,55312.5,40423.86274654118,-14888.637253458823
panoramakent_3,2,58273.81,44652.382141945614,-13621.427858054383
yuvacikta,1,57500.0,43934.26408392291,-13565.735916077087
erenoglu_gm_den,1,60185.19,46897.07823818703,-13288.111761812972
kolayli,1,50000.0,38334.871928288645,-11665.128071711355
orka_life,3,56599.920000000006,45850.72565863281,-10749.194341367198
zeray_korupark,5,53095.166000000005,45364.806367485944,-7730.359632514052
yuvacik_eksioglu_metsan,1,54597.7,47047.44009607943,-7550.259903920567
panoramakent_2,2,57160.0,49612.821565177175,-7547.178434822825
anatolia,1,45112.78,37620.442915564054,-7492.337084435945
royal_life,2,54451.415,47123.38006587922,-7328.0349341207875
bulvar,2,51688.655,44421.35195907033,-7267.30304092967
pasadag_mh_de_konsept_talha_park,1,41807.91,34694.14183245514,-7113.768167544862
mahall_yuvacik_2,1,47849.46,40934.12135530288,-6915.33864469712
kolayli_karsiyaka,1,42424.24,35800.38272356347,-6623.857276436531
bahama,1,38571.43,32653.649057468298,-5917.780942531703
oksijen_konaklari,1,41818.18,36409.95745164325,-5408.222548356753
asrin,1,37666.67,32285.726472239385,-5380.9435277606135
basiskele_de_asev_muhit,1,53333.33,47973.94068738743,-5359.3893126125695
kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,38947.10581408238,-5338.604185917618
altinkent_kalici_konutlari_7_ada,1,34782.61,29881.209781101854,-4901.400218898147
ust_park_yuvacik,1,36750.0,31866.2308397429,-4883.769160257099
basiskele_fatih,1,43062.5,38213.63440421677,-4848.865595783231
zeray_kent,1,47368.42,42763.597881974085,-4604.822118025913
vadi,1,41842.11,37343.88779530624,-4498.22220469376
zeray_perla,8,55492.5925,51003.676600961706,-4488.915899038299
kucuk_yali,1,45145.63,40817.219340812364,-4328.410659187633
yagmurkent,1,57692.31,53411.699108987574,-4280.610891012424
oluklu_life,2,38349.36,34087.354649051325,-4262.005350948677
parla_100_yil,3,49074.073333333334,44958.177848300285,-4115.895485033051
kolayli_kullar,1,48333.33,44653.97325057937,-3679.356749420629
yesilyurt_mah_durupark,1,48058.25,44454.74856807335,-3603.5014319266484
armoni_2,1,49583.33,46421.769068292306,-3161.560931707696
secret_garden,1,43000.0,39851.9297367237,-3148.0702632762986
pera_park,1,38518.52,35402.97539933676,-3115.5446006632337
manar_yuvacik_3,2,40111.365000000005,37197.06003756659,-2914.3049624334126
teras_marmara,3,43910.77666666667,41000.26026331643,-2910.5164033502347
lotus_mahza,1,44512.2,41672.81247630068,-2839.387523699319
tinaztepede,1,48843.28,46498.0089162546,-2345.2710837453997
ceneviz_adalari,2,48076.925,46058.78573941376,-2018.1392605862384
ustpark_yuvacik,2,42667.46,40875.02223376052,-1792.43776623948
orka_life_2,6,55923.60333333333,54143.5560702222,-1780.047263111137
lotus,1,52380.95,50607.70825883921,-1773.2417411607894
panoramakent_4,2,46300.425,44549.58593550937,-1750.8390644906322
manar_yuvacik,2,40638.57,38932.87707873924,-1705.6929212607574
mamik_life,4,50322.3875,48683.02972827495,-1639.3577717250482
