floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Bahçe,67,0.13680733321755,0.11822621072243893,5808.770720150031,5040.949565814917,41418.09552238806,39681.85809552813
En Üst Kat,163,0.11358551354889784,0.08199427680765989,4444.991596637984,3186.2899140991794,38676.08797546012,38206.25122816069
Ara Kat,517,0.10333504527217163,0.08815987093813059,4410.9632594429995,3580.450506293215,42414.60651837524,41991.937758706204
Çatı,31,0.10140135830261074,0.07825457143540601,3970.49829962085,3370.1714510421334,38903.83903225807,37883.50299378178
Zemin/Giriş,141,0.09286699696270984,0.07003462683775877,3483.848122577333,2815.0045923228463,38238.74794326241,38836.47624883247
