building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.21386314892532945,0.17191852005081965,5487.0769403903,4668.847358067851,28095.89875,33219.5774330308
16-20 arası,11,0.13125147835111048,0.059206131400863414,5308.372933910827,2121.552844510501,36433.91818181818,35565.80294939286
5,43,0.12180275768516859,0.09587662547156023,5353.522477343538,3934.532560705782,43811.04720930233,42731.96381552544
2,30,0.11820184385985145,0.08384601896446296,5003.816917080549,3193.352261791493,41055.965,40355.79007866047
26-30 arası,16,0.11737200487104514,0.10012902666287801,3537.10301042435,3281.9997556714297,32057.213125000002,33173.135948885974
6-10 arası,158,0.11526732727562773,0.09559650291045102,4655.563895902559,3798.8919503468787,40460.17386075949,40289.94099185006
0 (Yapım Aşamasında),78,0.11083858121460058,0.09287627635953467,4641.14245324424,3742.6611408471654,41159.575769230774,40777.41479528063
4,17,0.10979763127124481,0.08751631960374756,4644.247166957399,3451.9744228639465,40888.98941176471,40438.54626330489
3,26,0.10370575377847567,0.10484857990414889,4545.777481105011,4697.188180142304,43607.786538461536,42252.14651909625
0 (Oturuma Hazır),388,0.10087694319563262,0.07999332825623774,4323.000131467498,3219.696204140786,42164.376211340204,41598.70796790487
1,47,0.094102140205194,0.0761763581753365,3933.7802643168743,3199.0995681315544,42601.52404255319,41884.17375899945
11-15 arası,78,0.09157281439167211,0.08602651651227604,3411.0456073190717,3251.9347083029243,37469.194871794876,37483.37836051282
missing,3,0.0813365980818843,0.08545850461700989,3475.784294353405,4272.925230850495,44908.426666666666,41590.40684543194
21-25 arası,16,0.07224621568358565,0.06882989643868523,2241.731829107066,2311.020060994624,31237.335625,32548.65728899386
