county,n_tests,mean_abs_diff_tl_m2,mean_abs_diff_pct,pass_rate
Başiskele,8,3719.556462538539,0.11717572212992426,1.0
Gölcük,8,4364.280117320939,0.15871853738891872,1.0
Karamürsel,8,3978.216398471387,0.15240168403108154,0.875
İzmit,8,4061.2014243025187,0.13467863295746085,1.0
