duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,436,36513.565,38042.1856880734,28235.29,49727.27
garden,1,119,34905.66,36367.73218487395,26269.006,46432.474
middle_floor,0,22,37881.69,37980.98,29100.0,44477.27300000001
middle_floor,1,3,34250.0,32574.073333333334,29450.0,35027.776
none,0,4060,37982.34,38447.174566502465,23682.456,52947.062
none,1,167,36486.49,39450.53892215569,23559.524,59254.546
roof,0,1019,36153.85,37515.30997055937,29667.862,46514.992
roof,1,314,33810.485,34531.52219745223,24579.554,45105.289
standard,0,480,36461.1,37956.4669375,29977.33,46875.0
standard,1,109,32954.55,36778.6823853211,26340.708000000002,53139.27
