building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,585,0.1593522515464681,0.1304425437101529,4376.6182351841,3448.418814358927,27460.147572649574,27361.376896548798
26-30 arası,415,0.14350146114779427,0.11920709604187178,4089.6440048890013,3232.6098470524666,28543.812409638555,28135.692541596185
16-20 arası,206,0.13375549155760236,0.09610410520638976,4666.29845824452,3104.921770565654,35885.83932038835,36117.47877434708
21-25 arası,242,0.13174838573250025,0.10428323380986448,4274.489857694139,3484.9911321637974,33980.545,34135.47135330922
missing,18,0.12756195613258678,0.12118176903151076,5446.550046952633,4825.723459776913,42992.14388888889,41412.13294799696
5,278,0.12524894295047256,0.09667333657166854,5026.082307772433,3676.964166740956,40081.814496402876,39385.60852003261
3,197,0.12474526085073416,0.09665042658623108,5189.259422618014,3883.0755221092622,41236.08126903553,40782.37186315884
6-10 arası,1148,0.1208146177945405,0.09646703842556725,4682.967456828426,3609.944531322464,39176.28763937282,38873.89563730866
2,206,0.11852799182143897,0.10115572761435286,4987.029444245355,4016.9939422499156,41854.85223300971,41443.235458744326
11-15 arası,781,0.11828960548702121,0.09341015197664179,4575.157383642879,3582.523353109049,39677.26417413572,39490.97684504696
4,155,0.11275453825824322,0.0932009134072861,4622.374958580048,3645.1174211551443,41030.00180645161,40476.434789123945
1,261,0.10822996498350301,0.08028952691157004,4365.364230782994,3252.9666770354743,41322.642873563214,41170.588719260544
0 (Yapım Aşamasında),179,0.10605757996260269,0.08345879903787733,4845.316301597183,3695.665212051863,45358.292402234634,44512.242014528936
0 (Oturuma Hazır),1996,0.09525094525652562,0.07344779864202705,3980.954221739095,2876.280822427165,40684.464183366734,40068.24365404702
