heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.24372344441587906,0.26545371428418607,10573.27733706204,5502.130808471182,36936.85,31005.034315368866
Yok,26,0.2118048262027926,0.1812532952711356,6911.892838849532,6240.440228684998,34610.45115384615,33669.17470519232
Doğalgaz Sobası,45,0.18215772367717126,0.15573502313427115,5535.556493943166,4369.927299507319,29016.16688888889,27929.603889073696
Klima,7,0.13954041016737248,0.11479548667006235,4717.985053585216,3741.932627998758,32086.58714285714,31266.020705667022
Kombi (Elektrik),12,0.1354203581383306,0.13183145114434192,5973.268593714992,4941.01106706047,39483.42083333334,38176.731768305144
Kombi (Doğalgaz),3871,0.1285703316926044,0.10214278569425746,4561.432332926801,3507.4262892669576,36411.337104107464,36228.703303304144
,18,0.12756195613258678,0.12118176903151076,5446.550046952633,4825.723459776913,42992.14388888889,41412.13294799696
Kat Kaloriferi,26,0.12350393172190802,0.11353404456183491,4281.937618003674,4078.0044707759134,35067.71076923077,35161.085474670836
Merkezi,209,0.12155306862299917,0.09319938312003732,4419.214658292138,3683.191424487177,37981.59133971292,37140.073004850434
VRV,2,0.11374973519093275,0.11374973519093275,8908.892602835589,8908.892602835589,71051.59,64192.91008582196
Merkezi (Pay Ölçer),331,0.1052774679551367,0.06761568712219124,4878.717515731868,3094.2656688288553,45494.26628398792,44797.423148841364
Yerden Isıtma,2115,0.09599100594870194,0.07536298090374174,3975.0047984928137,2944.9273121928345,40547.94645390071,39952.223006686094
