segment,rows,r2,mape
duplex,2490,0.48617694129256184,0.11548853440505924
non_duplex,4177,0.7026676730010553,0.11890373437240369
roof,1324,0.4784641932532502,0.11394353869626447
garden,554,0.5160568128694905,0.11976406668030792
middle_floor,25,0.3189458510151799,0.11410272096552192
standard,587,0.46885022632735895,0.11499717967583423
