county,rows,site_coverage,dict_hit_rate,canonical_non_missing_rate,n_unique_sites
İzmit,2424,0.36014851485148514,0.0,0.36014851485148514,337
Başiskele,1758,0.2974971558589306,0.0,0.2974971558589306,217
Gölcük,1200,0.20833333333333334,0.0,0.20833333333333334,161
Kartepe,1012,0.34189723320158105,0.0,0.34189723320158105,171
Karamürsel,335,0.16417910447761194,0.0,0.16417910447761194,38
