experiment,r2,mape,variance_ratio,basiskele_r2,izmit_r2,golcuk_r2,karamursel_r2,kartepe_r2,merge_audit_severe_warnings,leakage_pass,site_extraction_mode,site_project_encoding,duplex_feature_mode,rows,large_home_r2,expensive_decile_bias,basiskele_mape,selected,notes,note
control_v17_or_v21_like_global,0.6355303940198862,0.12012936749595975,0.6147205314789795,0.4862605571949984,0.6625129410605489,0.6609125400563349,0.5774965050458485,0.5309089223206018,0,True,none,none,none,6667,,,,False,frozen_v24_control_ref; not retrained in site_repair_only,
duplex_largehome_global,0.6358656162289547,0.12003687930512741,0.6184810005227498,0.48961528851390135,0.6633843128240349,0.657070542679931,0.5768160507548209,0.5304984704509776,0,True,none,none,full,6667,,,,False,frozen_v24_safe_duplex_ref; not retrained in site_repair_only,V24 safe selected arm; keep until site merge severe=0 and gates pass.
site_frequency_global,0.6456575415270251,0.11855421173065066,0.6273169259174559,0.49758287965512327,0.6764053792560536,0.6631360650283471,0.5752885969324874,0.5469377146731482,0,True,dict,frequency,none,6667,0.543251439570198,-8766.008092658869,0.10408425227442662,False,cached_resume,
site_foldsafe_global,0.6474900897247552,0.11819666845933008,0.6269858442846672,0.4985027223993085,0.6790272041106802,0.6640112115696508,0.5764683896483065,0.549177331582881,0,True,dict,foldsafe_target,none,6667,0.5463405521621038,-8736.729739585191,0.10390293102072146,False,cached_resume,
site_plus_duplex_global,0.6499061065673006,0.11783709708004232,0.6306353917135983,0.5054139833189565,0.6807437112573663,0.6659960852414633,0.5776849270994912,0.5509543623429177,0,True,dict,foldsafe_target,full,6667,0.5480094952553789,-8635.15076436789,0.10326391084099534,False,cached_resume,
full_v24,0.6523243261980677,0.11762822096027113,0.6315725457911608,0.5117323345940774,0.682681285386731,0.6700273654078172,0.5784530820679485,0.5501146066225185,0,True,full,foldsafe_target,full,6667,0.5498665456711831,-8595.524608059715,0.10298299704781315,True,cached_resume,
