raw_folded,canonical_id
basiskele pasadag mah. full deniz manzarali site,pasadag_mah_full_deniz_manzarali
basiskele tinaztepede site,tinaztepede
basiskele vadi,basiskele_vadi
basiskele yaylacik mh.'de havuzlu site,yaylacik_mh_de_havuzlu
basiskele yesilkent kalici konutlari,yesilkent_kalici
basiskele yesilyurt mah.durupark evleri,yesilyurt_mah_durupark
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de
basiskele yesilyurt site,yesilyurt
basiskele yesilyurtda site,yesilyurtda
basiskele yuvacikta site,yuvacikta
basiskele'de asev muhit sitesi,basiskele_de_asev_muhit
basiskele'de butik site,basiskele_de_butik
basiskele'de havuzlu site,basiskele_de_havuzlu
basiskele'de site,basiskele_de
basiskelede prejtijli proje,basiskelede_prejtijli
bati mercan sitesi,bati_mercan
baydar sitesi,baydar
bayindirlik kalici konutlari 539. ada,bayindirlik_kalici_konutlari_539_ada
bayindirlik konutlari,bayindirlik
bayindirlik konutlari 11. ada,bayindirlik_konutlari_11_ada
bayindirlik konutlari 12. ada,bayindirlik_konutlari_12_ada
belediye memurlar sitesi,belediye_memurlar
beyaz saraylar sitesi,beyaz_saraylar
beyaz vadi,beyaz_vadi
beykent konaklari 611 projesi,beykent_konaklari_611
beykent konaklari sitesi,beykent_konaklari
beykoz evleri 1,beykoz_evleri_1
birikim gayrimenkulden site,birikim_gayrimenkulden
bizim evler sitesi,bizim_evler
bizim konaklar sitesi,bizim_konaklar
bloklu butik site,bloklu_butik
bogazici 3. etap sitesi,bogazici_3
bogazici ihsaniye 1. etap,bogazici_ihsaniye_1
boutique kartepe,boutique_kartepe
boyunegmez yasam evleri,boyunegmez_yasam
bulvar basiskele sitesi,bulvar
burcin sitesi,burcin
butik site,butik
cadde 53 konutlari,cadde_53
cadde-i kubra sitesi,cadde_i_kubra
caglayan modern yuvacik,caglayan_modern_yuvacik
cakiroglu prestij park,cakiroglu_prestij_park
cam sitesi,cam
camlik sitesi,camlik
campus istanbul,campus_istanbul
capediem kartepe evleri,capediem_kartepe
carpediem kartepe,carpediem_kartepe
casaba residence,casaba
casaba suite sitesi,casaba_suite
cati dubleks 210m2 havuzlu site,cati_dubleks_havuzlu
