canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning,county
golcuk::otoparkli,otoparkli site,1,1,"{""otoparkli site"": 37500.0}",0.0,,golcuk
golcuk::ulasli_yesilkent,ulasli yesilkent sitesi,1,1,"{""ulasli yesilkent sitesi"": 22307.69}",0.0,,golcuk
golcuk::cb_envoy_dan_golcuk_yazlik_ta,cb envoy'dan golcuk yazlik'ta site,1,1,"{""cb envoy'dan golcuk yazlik'ta site"": 42045.45}",0.0,,golcuk
golcuk::olkar_vadi,olkar vadi evleri,1,1,"{""olkar vadi evleri"": 35405.41}",0.0,,golcuk
golcuk::ema_emlak_karakopru_mah_vip,ema emlak karakopru mah. vip sit,1,1,"{""ema emlak karakopru mah. vip sit"": 39473.68}",0.0,,golcuk
golcuk::ciftlik_mahallesinde,ciftlik mahallesinde site,1,1,"{""ciftlik mahallesinde site"": 36818.18}",0.0,,golcuk
golcuk::baris_vizyon_deluxe_3,baris vizyon deluxe 3,1,2,"{""baris vizyon deluxe 3"": 51111.11}",0.0,,golcuk
golcuk::supark_arcadia,supark arcadia,1,1,"{""supark arcadia"": 44230.77}",0.0,,golcuk
golcuk::demet,demet sitesi,1,1,"{""demet sitesi"": 22692.31}",0.0,,golcuk
golcuk::baris_vizyon_deluxe,baris vizyon deluxe,1,1,"{""baris vizyon deluxe"": 45454.55}",0.0,,golcuk
golcuk::sehri_torunoglu,sehri torunoglu sitesi,1,4,"{""sehri torunoglu sitesi"": 36766.95}",0.0,,golcuk
golcuk::ciftlik_mahallesi_nde,ciftlik mahallesi'nde site,1,1,"{""ciftlik mahallesi'nde site"": 46500.0}",0.0,,golcuk
golcuk::sirinkoy_toki,sirinkoy toki konutlari,1,1,"{""sirinkoy toki konutlari"": 34726.32}",0.0,,golcuk
golcuk::ilica_evleri_3,ilica evleri 3,1,2,"{""ilica evleri 3"": 27663.394999999997}",0.0,,golcuk
golcuk::full_deniz_manzarali,full deniz manzarali site,1,1,"{""full deniz manzarali site"": 25483.87}",0.0,,golcuk
karamursel::kolayli_1,kolayli 1 sitesi,1,1,"{""kolayli 1 sitesi"": 47222.22}",0.0,,karamursel
karamursel::ozgul_evler,ozgul evler sitesi,1,3,"{""ozgul evler sitesi"": 46750.0}",0.0,,karamursel
karamursel::cam,cam sitesi,1,1,"{""cam sitesi"": 46000.0}",0.0,,karamursel
karamursel::zumrut_2,zumrut 2 sitesi,1,1,"{""zumrut 2 sitesi"": 51339.29}",0.0,,karamursel
karamursel::doga_kent,doga kent sitesi,1,1,"{""doga kent sitesi"": 21666.67}",0.0,,karamursel
karamursel::kardelen,kardelen sitesi,1,1,"{""kardelen sitesi"": 29475.0}",0.0,,karamursel
karamursel::onurkent,onurkent sitesi,1,1,"{""onurkent sitesi"": 37857.14}",0.0,,karamursel
karamursel::hetas_konaklari,hetas konaklari sitesi,1,2,"{""hetas konaklari sitesi"": 55000.0}",0.0,,karamursel
basiskele::torpidocular,torpidocular sitesi,1,1,"{""torpidocular sitesi"": 30769.23}",0.0,,basiskele
basiskele::clover_premium,clover premium,1,1,"{""clover premium"": 42812.5}",0.0,,basiskele
basiskele::cevizli_vadi,cevizli vadi evleri,1,1,"{""cevizli vadi evleri"": 45000.0}",0.0,,basiskele
basiskele::yaylacik_mh_de_havuzlu,basiskele yaylacik mh.'de havuzlu site,1,1,"{""basiskele yaylacik mh.'de havuzlu site"": 46333.33}",0.0,,basiskele
