experiment,expensive_decile_bias,r2,mape,merge_audit_severe_warnings,selected
control_v17_or_v21_like_global,,0.6355303940198862,0.12012936749595975,0,False
duplex_largehome_global,,0.6358656162289547,0.12003687930512741,0,False
site_frequency_global,-8766.008092658869,0.6456575415270251,0.11855421173065066,0,False
site_foldsafe_global,-8736.729739585191,0.6474900897247552,0.11819666845933008,0,False
site_plus_duplex_global,-8635.15076436789,0.6499061065673006,0.11783709708004232,0,False
full_v24,-8595.524608059715,0.6523243261980677,0.11762822096027113,0,True
